,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2019-20,1610612748,MIA,Miami Heat,0021901316,2020-08-14T00:00:00,MIA @ IND,L,48.0,-1.9034710053841608,-0.179795353408503,0.356,-0.5616842707922063,0.5963090310701341,0.263,0.3727625779676314,0.5614293821260508,0.741,1.127071667946927,-0.09275404343584713,0.5322937524563414,-2.107032076501079,1.1111880027610739,-0.5519486168938542,0.05545310480551363,-0.7525072221840433,-1.3093120849279272,1.4878786718214674,-1.5650940348540059,-17.0,1,1060,1060,1060,139,2062,1183,2064,1399,533,1834,682,567,1334,227,1080,590,2084,1770,1334,785,354,149,140,1998,1884
1,2019-20,1610612754,IND,Indiana Pacers,0021901316,2020-08-14T00:00:00,IND vs. MIA,W,48.0,0.4818268603714049,0.12648752037936642,0.483,0.7598080547242858,0.5963090310701341,0.395,-1.590087579824504,-1.6453864589947373,0.727,0.563256122842567,0.8273040927426303,0.989335651503007,1.6053035142890424,1.3550705763446431,1.175898479331065,-0.752507222184044,0.05545310480551416,1.4878786718214674,-1.3093120849279272,-0.16462266062930253,17.0,1,1,1,1,139,624,935,711,400,533,679,2014,2019,1449,528,398,350,107,1869,212,1447,1008,1913,1879,1186,210
2,2019-20,1610612746,LAC,LA Clippers,0021901317,2020-08-14T00:00:00,LAC vs. OKC,W,53.0,-1.944726157150374,-1.7140991834213173,0.4,-0.33229315013651334,-0.05129184411437533,0.324,1.101115781173518,1.7090777145957055,0.692,0.24411524825519362,1.8168005788213706,1.6360930558143258,-0.6983680472914101,1.5575391279989266,0.504320174005908,-1.232710058036328,0.23076525122777658,-0.16140833097888294,1.3163528235302309,-1.16096245072701,4.0,1,1,1,1,13,1890,1446,1836,971,632,1354,139,33,1658,528,17,21,1201,2051,356,1766,1335,1229,64,1321,842
3,2019-20,1610612743,DEN,Denver Nuggets,0021901318,2020-08-14T00:00:00,DEN @ TOR,L,48.0,-0.9095968946526755,-0.179795353408503,0.414,1.024106519827584,0.5963090310701341,0.421,0.5363334244503092,0.009725421845853871,0.913,-0.28246719481397264,-0.46077729790723887,-0.5341373453192118,0.5740991835140089,0.3795402820103678,0.4847596408410974,2.4793340857741857,0.05545310480551416,-1.3093120849279272,0.7885809826341188,-0.16462266062930253,-8.0,1,1060,1060,1060,139,1710,1183,1696,295,533,478,572,971,137,1152,1374,1443,545,1282,520,23,1008,149,409,1186,1479
4,2019-20,1610612755,PHI,Philadelphia 76ers,0021901315,2020-08-14T00:00:00,PHI @ HOU,W,48.0,1.6744757932491867,-0.179795353408503,0.563,1.5527034500341812,0.5963090310701341,0.474,0.04562088500227537,-0.12820056822419562,0.818,-0.5643749673661527,1.5633506016854128,0.989335651503007,1.3990626481340365,0.3795402820103678,0.13919022159611338,-0.3485270586892653,1.671373758784629,-0.3769151660114625,-0.6100143957405785,1.8948940661717302,38.0,1,1,1,1,139,113,1183,68,116,533,181,930,1101,691,1393,138,350,161,1282,772,1112,1940,651,1469,80,16
5,2019-20,1610612760,OKC,Oklahoma City Thunder,0021901317,2020-08-14T00:00:00,OKC @ LAC,L,53.0,-1.224636235412845,1.198477578636907,0.358,0.1464361451449328,0.8629682149696385,0.318,-0.9728391025313797,-0.4144620570488259,0.591,-0.011197451414705075,-0.18302389830618906,-0.15758081214239889,-1.6322889506348375,0.01141564263894342,-1.0605224791789247,0.23076525122777605,-1.2327100580363273,1.3163528235302309,-0.16140833097888294,-1.4593980820823305,-4.0,1,1060,1060,1060,13,1431,19,2058,562,167,1419,1560,1101,2025,701,618,590,1895,1282,1609,514,134,2019,699,1591,1220
6,2019-20,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14T00:00:00,TOR vs. DEN,W,48.0,0.8793765046639989,0.27962895727330034,0.5,1.5527034500341812,0.1636681102535921,0.514,-1.426516733341826,-1.2316084887845895,0.643,0.8451638953947467,0.6432924655069344,0.989335651503007,0.5740991835140089,1.1111880027610739,0.13919022159611338,0.05545310480551363,2.479334085774186,0.7885809826341188,-1.3093120849279272,0.4944226919470277,8.0,1,1,1,1,139,375,826,492,116,845,68,1949,1865,1888,363,498,350,545,1770,772,785,2071,1589,1879,665,568
7,2019-20,1610612745,HOU,Houston Rockets,0021901315,2020-08-14T00:00:00,HOU vs. PHI,L,48.0,-1.1083717167989728,-1.2517854116660436,0.438,-0.033087340585609505,2.038445433791941,0.25,-0.6086625009284362,-0.9557565086444911,0.875,-2.537729375231412,-1.5648470613214123,-2.666999540870317,0.1616174512039957,0.623422855593937,0.8303290600860814,1.6713737587846285,-0.3485270586892647,-0.6100143957405785,-0.3769151660114625,-1.2355713585658408,-38.0,1,1060,1060,1060,139,1811,1892,1379,971,56,1890,1458,1706,297,2116,1994,2113,831,1472,356,100,673,493,1301,1901,2103
8,2019-20,1610612757,POR,Portland Trail Blazers,0021901309,2020-08-13T00:00:00,POR @ BKN,W,48.0,1.8732506153954853,2.4236090737883815,0.481,0.23121112451768872,0.740522671342315,0.333,0.5363334244503092,0.147651411915903,0.875,1.127071667946927,-1.1968238068500203,-0.38179004563698965,0.1616174512039957,-1.327637733074613,0.8303290600860814,-0.3485270586892653,0.05545310480551416,0.08928329344677012,0.5554817529050028,1.8948940661717302,1.0,1,1,1,1,139,67,37,760,763,448,1243,572,865,297,227,1854,1317,831,125,356,1112,1008,1021,531,80,1013
9,2019-20,1610612763,MEM,Memphis Grizzlies,0021901311,2020-08-13T00:00:00,MEM vs. MIL,W,48.0,0.8793765046639989,0.27962895727330034,0.5,0.23121112451768872,-0.12475917029076895,0.394,-0.28152080796308065,0.009725421845853871,0.696,-0.28246719481397264,2.1153854833924997,1.5987248502318938,2.43026697890907,0.8673054291775055,-1.243087455383822,-0.752507222184044,-0.7525072221840433,-0.6100143957405785,0.3223825231758861,0.6591840300911098,13.0,1,1,1,1,139,375,826,492,763,1103,695,1193,971,1639,1152,57,133,21,1641,1826,1447,354,493,699,553,336
