,DATE,SNOW,SNWD,TMAX,TMIN,WEEKDAY,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,Flux,PrevFlux24,PrevFlux48,SNOW24,SNOW48,SNOW7,MON,TUE,WED,THU,FRI,SAT,SUN,KMEANS30,KMEANS29,KMEANS28,KMEANS27,KMEANS26,KMEANS25,KMEANS24,KMEANS23,KMEANS22,KMEANS21,KMEANS20,KMEANS19,KMEANS18,KMEANS17,KMEANS16,KMEANS15,KMEANS14,KMEANS13,KMEANS12,KMEANS11,KMEANS10,KMEANS9,KMEANS8,KMEANS7,KMEANS6,KMEANS5,KMEANS4,KMEANS3
11,2003-01-12,1.5,23.0,34.0,15.0,6,-11,-7,17,-9,-6,-42,-41,-25,-8,-103,-184,-175,-148,-133,-94,13,40,10,30,19,-11,-10,-26,6,-898,-36.0,531.0,5.0,5.0,7.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,7,18,3,8,11,4,19,9,9,4,3,2,11,4,10,10,13,7,3,7,1,5,1,1,2,0,2,0
12,2003-01-13,0.0,22.0,37.0,15.0,0,10,0,9,-19,-56,-66,-106,144,83,-21,-34,21,-29,-6,-47,30,70,-11,-41,-25,-28,-8,-7,-5,-142,-898.0,-934.0,1.5,6.5,8.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,26,15,16,5,12,1,14,12,10,16,15,12,1,0,14,5,2,10,2,8,6,2,3,5,5,4,3,1
13,2003-01-14,0.0,21.0,36.0,8.0,1,17,8,21,-17,-51,-59,-90,143,127,9,16,35,-15,13,-48,-41,51,46,14,-49,-65,-61,-39,-12,-47,-142.0,-1040.0,0.0,1.5,6.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,27,28,23,6,3,13,9,8,5,8,1,1,6,5,6,14,10,0,1,0,2,8,7,2,4,4,3,1
14,2003-01-15,0.0,0.0,33.0,11.0,2,12,25,19,0,-62,-60,-75,110,108,49,-29,14,2,-19,-3,40,-25,31,-2,-29,-47,12,-17,3,57,-47.0,-189.0,0.0,0.0,6.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,2,19,19,17,7,19,22,11,12,19,10,5,12,1,0,9,6,12,4,5,8,1,0,0,0,2,0,1
15,2003-01-16,1.0,18.0,32.0,-4.0,3,12,17,19,-1,-60,-68,-73,129,53,27,45,86,-13,-17,-38,31,91,17,18,41,12,5,-23,-14,296,57.0,10.0,0.0,0.0,6.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,8,21,10,7,8,23,15,1,4,2,2,16,10,10,15,7,12,11,7,3,3,4,4,6,0,2,0,2
16,2003-01-17,1.5,20.0,23.0,2.0,4,27,24,30,-4,-61,-56,-73,114,92,22,7,77,-36,25,45,46,144,123,231,190,167,102,41,-28,1249,296.0,353.0,1.0,1.0,7.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,6,25,14,24,17,17,21,2,14,5,9,0,0,3,8,11,5,9,0,6,0,3,2,4,1,1,1,2
17,2003-01-18,0.0,21.0,26.0,-11.0,5,14,0,7,8,-29,-35,-10,-13,15,1,-9,41,-14,33,111,116,87,140,88,8,-21,-10,-3,-15,510,1249.0,1545.0,1.5,2.5,9.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,23,2,22,3,19,6,4,20,16,10,8,4,3,14,2,13,3,8,6,10,5,0,5,3,3,3,1,0
18,2003-01-19,0.0,20.0,19.0,-8.0,6,-6,-8,1,-6,-25,-42,-60,-33,-6,-46,-78,-93,-163,-86,-23,12,-59,60,-59,-30,-42,-29,-14,-2,-837,510.0,1759.0,0.0,1.5,4.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,7,18,8,8,11,22,2,22,2,18,5,10,5,13,3,6,1,2,11,9,9,5,1,1,2,0,2,0
19,2003-01-20,0.0,19.0,22.0,-8.0,0,-1,0,1,-4,-66,-72,-118,32,15,-125,-165,-76,-157,-105,-56,-43,-1,-24,-51,-31,-49,10,-16,25,-1077,-837.0,-327.0,0.0,0.0,2.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,16,1,15,22,16,20,16,0,19,7,12,12,15,11,9,2,8,10,2,8,6,2,3,5,5,4,3,1
20,2003-01-21,0.0,18.0,25.0,-2.0,1,26,13,11,-8,-63,-61,-98,62,55,-13,31,27,16,11,-68,-61,60,9,-8,-48,-21,-13,-55,-15,-211,-1077.0,-1914.0,0.0,0.0,2.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,27,28,23,6,3,13,9,8,5,8,1,1,6,5,6,14,10,0,1,0,2,8,7,2,4,4,3,1
