,Away,Date,Home,MLA,MLH,OU,Spread
0,CLE,2015/10/27,CHI,160,-180.0,197.5,2.0
1,DET,2015/10/27,ATL,255,-320.0,197.5,7.0
2,NOP,2015/10/27,GSW,510,-710.0,214.5,9.5
3,WAS,2015/10/28,ORL,-180,160.0,204.5,3.5
4,PHI,2015/10/28,BOS,800,-1300.0,198.0,11.0
5,IND,2015/10/28,TOR,195,-235.0,198.5,5.5
6,CHI,2015/10/28,BKN,-205,175.0,194.5,6.0
7,CHA,2015/10/28,MIA,210,-260.0,193.0,6.5
8,UTA,2015/10/28,DET,-105,-115.0,188.0,2.0
9,SAS,2015/10/28,OKC,165,-185.0,208.0,5.0
10,NYK,2015/10/28,MIL,175,-205.0,192.5,6.5
11,DEN,2015/10/28,HOU,510,-710.0,212.5,10.0
12,CLE,2015/10/28,MEM,185,-215.0,188.5,6.0
13,NOP,2015/10/28,POR,105,-125.0,206.0,2.5
14,DAL,2015/10/28,PHX,210,-260.0,204.0,4.5
15,LAC,2015/10/28,SAC,-230,190.0,210.5,5.0
16,MIN,2015/10/28,LAL,120,-140.0,202.5,3.5
17,MEM,2015/10/29,IND,-145,125.0,185.0,3.0
18,ATL,2015/10/29,NYK,-185,165.0,196.0,4.0
19,DAL,2015/10/29,LAC,650,-950.0,211.5,9.0
20,MIA,2015/10/30,CLE,185,-215.0,196.0,7.0
21,UTA,2015/10/30,PHI,-325,260.0,190.0,7.5
22,OKC,2015/10/30,ORL,-365,300.0,206.0,6.5
23,TOR,2015/10/30,BOS,110,-130.0,203.5,1.5
24,CHI,2015/10/30,DET,-145,125.0,200.0,3.0
25,WAS,2015/10/30,MIL,-135,115.0,200.0,1.0
26,CHA,2015/10/30,ATL,155,-175.0,195.5,5.0
27,BKN,2015/10/30,SAS,900,-1600.0,202.0,13.5
28,MIN,2015/10/30,DEN,140,-160.0,207.5,5.0
29,GSW,2015/10/30,HOU,-115,-105.0,216.0,0.0
30,LAL,2015/10/30,SAC,245,-305.0,210.0,5.5
31,POR,2015/10/30,PHX,170,-200.0,207.5,5.0
32,UTA,2015/10/31,IND,140,-160.0,191.0,4.5
33,NYK,2015/10/31,WAS,260,-320.0,202.0,7.0
34,GSW,2015/10/31,NOP,-235,200.0,212.0,5.0
35,BKN,2015/10/31,MEM,705,-955.0,193.0,12.0
36,PHX,2015/10/31,POR,105,-125.0,204.0,3.5
37,SAC,2015/10/31,LAC,485,-635.0,215.5,11.5
38,ATL,2015/11/01,CHA,-140,120.0,193.5,1.0
39,SAS,2015/11/01,BOS,-260,210.0,202.0,4.0
40,MIL,2015/11/01,TOR,200,-240.0,204.5,7.0
41,HOU,2015/11/01,MIA,150,-170.0,204.5,1.5
42,ORL,2015/11/01,CHI,300,-365.0,200.0,9.0
43,DEN,2015/11/01,OKC,800,-1300.0,211.0,12.5
44,DAL,2015/11/01,LAL,-180,160.0,210.5,1.0
45,CLE,2015/11/02,PHI,-1450,850.0,196.0,12.5
46,SAS,2015/11/02,NYK,-335,270.0,204.5,7.0
47,MIL,2015/11/02,BKN,-120,100.0,197.5,1.0
48,OKC,2015/11/02,HOU,-180,160.0,215.0,1.0
49,POR,2015/11/02,MIN,150,-170.0,202.0,5.0
50,MEM,2015/11/02,GSW,380,-475.0,201.0,7.5
51,PHX,2015/11/02,LAC,369,-464.0,212.0,10.0
52,CHI,2015/11/03,CHA,-170,150.0,194.0,3.0
53,ATL,2015/11/03,MIA,155,-175.0,197.0,3.0
54,IND,2015/11/03,DET,165,-185.0,199.0,4.5
55,ORL,2015/11/03,NOP,175,-205.0,204.5,4.0
56,TOR,2015/11/03,DAL,-135,115.0,205.5,1.0
57,MEM,2015/11/03,SAC,-185,165.0,198.5,6.0
58,DEN,2015/11/03,LAL,130,-150.0,208.0,0.0
59,SAS,2015/11/04,WAS,-175,155.0,202.5,3.5
60,BOS,2015/11/04,IND,-129,109.0,201.5,2.0
61,NYK,2015/11/04,CLE,525,-725.0,200.0,10.5
62,BKN,2015/11/04,ATL,280,-345.0,198.0,9.5
63,PHI,2015/11/04,MIL,325,-400.0,198.0,11.0
64,ORL,2015/11/04,HOU,400,-500.0,207.0,9.0
65,TOR,2015/11/04,OKC,310,-380.0,211.0,8.5
66,POR,2015/11/04,UTA,240,-300.0,192.0,5.5
67,SAC,2015/11/04,PHX,405,-525.0,207.0,7.0
68,LAC,2015/11/04,GSW,280,-345.0,218.5,8.5
69,OKC,2015/11/05,CHI,-105,-115.0,208.0,1.5
70,MIA,2015/11/05,MIN,-180,160.0,201.0,2.5
71,CHA,2015/11/05,DAL,150,-170.0,198.0,4.5
72,UTA,2015/11/05,DEN,-150,130.0,193.5,2.0
73,MEM,2015/11/05,POR,-185,165.0,193.0,4.0
74,TOR,2015/11/06,ORL,-240,200.0,204.0,5.5
75,LAL,2015/11/06,BKN,135,-155.0,203.0,3.5
76,WAS,2015/11/06,BOS,105,-125.0,206.0,1.5
77,PHI,2015/11/06,CLE,950,-1650.0,196.5,15.5
78,MIL,2015/11/06,NYK,100,-120.0,200.5,1.5
79,MIA,2015/11/06,IND,-115,-105.0,196.5,1.0
80,ATL,2015/11/06,NOP,-140,120.0,202.5,2.0
81,DET,2015/11/06,PHX,160,-180.0,200.0,4.0
82,HOU,2015/11/06,SAC,-200,170.0,215.0,4.0
83,DEN,2015/11/06,GSW,2000,-7000.0,214.5,16.5
84,MIN,2015/11/07,CHI,380,-475.0,198.0,9.0
85,ORL,2015/11/07,PHI,-145,125.0,193.5,4.5
86,WAS,2015/11/07,ATL,175,-205.0,204.5,3.5
87,CHA,2015/11/07,SAS,400,-520.0,197.5,10.5
88,BKN,2015/11/07,MIL,235,-285.0,195.0,7.0
89,NOP,2015/11/07,DAL,190,-230.0,207.5,4.5
90,MEM,2015/11/07,UTA,125,-145.0,185.0,1.0
91,GSW,2015/11/07,SAC,-1750,950.0,218.0,11.5
92,HOU,2015/11/07,LAC,205,-245.0,216.5,7.0
93,LAL,2015/11/08,NYK,205,-245.0,207.0,4.5
94,IND,2015/11/08,CLE,305,-370.0,197.0,7.0
95,TOR,2015/11/08,MIA,130,-150.0,195.0,2.0
96,PHX,2015/11/08,OKC,345,-425.0,212.0,9.0
97,DET,2015/11/08,POR,110,-130.0,196.0,1.5
98,CHI,2015/11/09,PHI,-725,525.0,195.5,8.5
99,ORL,2015/11/09,IND,160,-180.0,194.5,4.0
100,MIN,2015/11/09,ATL,325,-400.0,200.5,9.0
101,POR,2015/11/09,DEN,-120,100.0,206.0,2.5
102,SAS,2015/11/09,SAC,-340,275.0,208.5,9.0
103,MEM,2015/11/09,LAC,230,-290.0,197.0,6.5
104,DET,2015/11/09,GSW,800,-1300.0,208.0,14.0
105,OKC,2015/11/10,WAS,-290,230.0,217.5,4.0
106,UTA,2015/11/10,CLE,195,-235.0,186.0,5.5
107,LAL,2015/11/10,MIA,575,-800.0,202.0,11.0
108,NYK,2015/11/10,TOR,250,-315.0,196.0,9.0
109,DAL,2015/11/10,NOP,125,-145.0,208.5,1.5
110,CHA,2015/11/10,MIN,-165,145.0,199.0,1.5
111,BOS,2015/11/10,MIL,-140,120.0,202.0,1.0
112,LAL,2015/11/11,ORL,305,-375.0,202.0,7.5
113,TOR,2015/11/11,PHI,-500,400.0,192.5,10.5
114,NYK,2015/11/11,CHA,215,-265.0,197.0,4.5
115,IND,2015/11/11,BOS,140,-160.0,203.5,4.0
116,LAC,2015/11/11,DAL,-290,230.0,213.5,6.0
117,NOP,2015/11/11,ATL,850,-1450.0,212.0,9.0
118,GSW,2015/11/11,MEM,-330,265.0,200.5,5.0
119,BKN,2015/11/11,HOU,700,-1000.0,203.5,12.0
120,MIL,2015/11/11,DEN,150,-170.0,201.5,1.5
121,DET,2015/11/11,SAC,-125,105.0,204.5,1.5
122,SAS,2015/11/11,POR,-250,210.0,200.5,7.0
123,UTA,2015/11/12,MIA,145,-165.0,181.0,4.5
124,GSW,2015/11/12,MIN,-600,460.0,210.0,8.0
125,LAC,2015/11/12,PHX,120,-140.0,210.0,3.5
126,UTA,2015/11/13,ORL,-120,100.0,187.5,1.0
127,MIN,2015/11/13,IND,285,-355.0,196.0,6.5
128,CLE,2015/11/13,NYK,-290,240.0,202.0,6.0
129,NOP,2015/11/13,TOR,465,-615.0,208.0,9.0
130,ATL,2015/11/13,BOS,-115,-105.0,204.5,0.0
