,Away,Date,Home,MLA,MLH,OU,Spread
0,BOS,2017/10/17,CLE,166,-195.0,214.5,4.0
1,HOU,2017/10/17,GSW,364,-470.0,232.0,9.0
2,BKN,2017/10/18,IND,135,-155.0,212.0,3.5
3,PHI,2017/10/18,WAS,240,-300.0,215.5,6.5
4,MIA,2017/10/18,ORL,-170,145.0,207.0,3.0
5,CHA,2017/10/18,DET,125,-145.0,204.0,3.0
6,MIL,2017/10/18,BOS,105,-125.0,208.5,6.0
7,NOP,2017/10/18,MEM,110,-130.0,205.0,3.0
8,ATL,2017/10/18,DAL,190,-240.0,199.5,6.5
9,DEN,2017/10/18,UTA,120,-140.0,209.0,2.0
10,MIN,2017/10/18,SAS,105,-125.0,207.0,3.0
11,HOU,2017/10/18,SAC,-310,250.0,218.5,9.0
12,POR,2017/10/18,PHX,-140,120.0,220.0,1.0
13,CHI,2017/10/19,TOR,800,-1400.0,206.0,12.0
14,NYK,2017/10/19,OKC,650,-1000.0,213.0,11.5
15,LAC,2017/10/19,LAL,-260,210.0,218.5,4.5
16,BOS,2017/10/20,PHI,130,-150.0,216.5,1.0
17,ATL,2017/10/20,CHA,160,-190.0,202.5,6.0
18,DET,2017/10/20,WAS,230,-280.0,210.5,6.5
19,CLE,2017/10/20,MIL,-105,-115.0,210.0,1.5
20,POR,2017/10/20,IND,-230,185.0,219.0,3.5
21,ORL,2017/10/20,BKN,110,-130.0,220.0,1.0
22,UTA,2017/10/20,MIN,170,-200.0,200.0,5.5
23,SAC,2017/10/20,DAL,200,-250.0,203.0,5.5
24,GSW,2017/10/20,NOP,-470,360.0,222.5,6.5
25,LAL,2017/10/20,PHX,140,-160.0,222.0,2.5
26,PHI,2017/10/21,TOR,292,-365.0,216.0,7.5
27,ORL,2017/10/21,CLE,588,-850.0,212.5,11.0
28,DAL,2017/10/21,HOU,588,-850.0,214.5,10.5
29,DET,2017/10/21,NYK,-115,-105.0,206.5,1.5
30,IND,2017/10/21,MIA,334,-425.0,211.0,8.5
31,SAS,2017/10/21,CHI,-600,447.0,202.0,7.5
32,GSW,2017/10/21,MEM,-375,299.0,213.0,7.5
33,POR,2017/10/21,MIL,130,-150.0,213.5,4.5
34,SAC,2017/10/21,DEN,588,-850.0,216.0,11.0
35,OKC,2017/10/21,UTA,-180,155.0,200.5,4.0
36,PHX,2017/10/21,LAC,857,-1450.0,220.0,11.5
37,ATL,2017/10/22,BKN,-105,-115.0,219.5,2.5
38,MIN,2017/10/22,OKC,150,-180.0,211.5,4.5
39,NOP,2017/10/22,LAL,-210,175.0,217.0,4.0
40,PHI,2017/10/23,DET,140,-160.0,213.0,4.0
41,ATL,2017/10/23,MIA,500,-700.0,206.0,11.5
42,MEM,2017/10/23,HOU,280,-360.0,210.5,8.0
43,CHA,2017/10/23,MIL,210,-260.0,205.0,6.0
44,GSW,2017/10/23,DAL,-1400,800.0,214.0,10.5
45,TOR,2017/10/23,SAS,125,-145.0,206.0,2.5
46,WAS,2017/10/23,DEN,170,-200.0,223.0,2.5
47,SAC,2017/10/23,PHX,-140,120.0,211.0,2.0
48,BKN,2017/10/24,ORL,170,-200.0,229.0,3.5
49,CHI,2017/10/24,CLE,1100,-2500.0,207.5,14.0
50,NYK,2017/10/24,BOS,240,-300.0,210.0,9.0
51,IND,2017/10/24,MIN,500,-700.0,217.0,11.0
52,NOP,2017/10/24,POR,170,-200.0,219.0,4.5
53,UTA,2017/10/24,LAC,170,-200.0,200.5,3.0
54,MIN,2017/10/25,DET,120,-140.0,208.0,0.0
55,HOU,2017/10/25,PHI,-160,140.0,223.0,3.0
56,DEN,2017/10/25,CHA,-140,120.0,212.0,0.0
57,CLE,2017/10/25,BKN,-340,270.0,227.0,7.0
58,SAS,2017/10/25,MIA,-150,130.0,195.0,3.0
59,IND,2017/10/25,OKC,650,-1000.0,218.0,14.0
60,MEM,2017/10/25,DAL,-160,140.0,196.0,4.0
61,UTA,2017/10/25,PHX,-330,260.0,203.0,7.0
62,WAS,2017/10/25,LAL,-220,180.0,230.0,5.5
63,TOR,2017/10/25,GSW,700,-1100.0,224.0,11.5
64,DAL,2017/10/26,MEM,270,-340.0,196.5,9.0
65,BOS,2017/10/26,MIL,160,-190.0,207.0,3.5
66,ATL,2017/10/26,CHI,110,-130.0,199.5,2.5
67,LAC,2017/10/26,POR,120,-140.0,210.5,1.0
68,NOP,2017/10/26,SAC,100,-120.0,204.0,1.0
69,SAS,2017/10/27,ORL,-240,190.0,204.5,5.5
70,HOU,2017/10/27,CHA,-140,120.0,213.0,3.0
71,BKN,2017/10/27,NYK,115,-135.0,219.5,1.0
72,DEN,2017/10/27,ATL,-280,230.0,206.0,8.5
73,OKC,2017/10/27,MIN,-125,105.0,214.5,2.5
74,TOR,2017/10/27,LAL,-240,190.0,224.0,6.5
75,WAS,2017/10/27,GSW,600,-900.0,231.5,10.5
76,CLE,2017/10/28,NOP,-135,115.0,215.0,3.5
77,HOU,2017/10/28,MEM,115,-135.0,206.0,1.0
78,BOS,2017/10/28,MIA,-115,-105.0,205.0,1.5
79,OKC,2017/10/28,CHI,-400,300.0,204.5,8.5
80,PHI,2017/10/28,DAL,-110,-110.0,208.0,1.0
81,LAL,2017/10/28,UTA,425,-600.0,204.5,9.0
82,PHX,2017/10/28,POR,600,-900.0,217.0,11.0
83,DET,2017/10/28,LAC,290,-380.0,210.0,6.0
84,MIL,2017/10/29,ATL,-240,199.0,203.0,5.5
85,SAS,2017/10/29,IND,-250,207.0,204.0,6.5
86,ORL,2017/10/29,CHA,148,-170.0,210.0,4.0
87,WAS,2017/10/29,SAC,-315,256.0,211.0,6.0
88,DEN,2017/10/29,BKN,-215,180.0,223.5,4.5
89,NYK,2017/10/29,CLE,451,-606.0,209.0,10.0
90,DET,2017/10/29,GSW,912,-1600.0,222.0,13.0
91,SAS,2017/10/30,BOS,151,-175.0,196.0,3.0
92,DEN,2017/10/30,NYK,-195,166.0,207.0,3.5
93,MIN,2017/10/30,MIA,-149,128.0,216.5,1.5
94,CHA,2017/10/30,MEM,180,-215.0,192.5,7.0
95,ORL,2017/10/30,NOP,263,-325.0,224.0,7.5
96,PHI,2017/10/30,HOU,237,-290.0,218.0,6.0
97,DAL,2017/10/30,UTA,292,-365.0,190.0,7.5
98,TOR,2017/10/30,POR,150,-174.0,215.5,2.0
99,GSW,2017/10/30,LAC,-275,226.0,221.0,3.5
100,SAC,2017/10/31,IND,207,-250.0,209.0,6.0
101,PHX,2017/10/31,BKN,163,-190.0,231.0,3.0
102,OKC,2017/10/31,MIL,-140,120.0,210.0,1.0
103,DET,2017/10/31,LAL,-152,132.0,209.0,5.0
104,PHX,2017/11/01,WAS,525,-750.0,225.5,14.0
105,MIL,2017/11/01,CHA,145,-170.0,203.0,2.0
106,ATL,2017/11/01,PHI,260,-330.0,210.0,8.5
107,IND,2017/11/01,CLE,400,-550.0,218.5,11.0
108,SAC,2017/11/01,BOS,600,-900.0,198.0,12.5
109,CHI,2017/11/01,MIA,375,-500.0,202.0,8.0
110,ORL,2017/11/01,MEM,125,-145.0,205.0,4.5
111,HOU,2017/11/01,NYK,-250,200.0,212.0,4.5
112,MIN,2017/11/01,NOP,115,-135.0,224.0,1.0
113,TOR,2017/11/01,DEN,105,-125.0,213.5,1.0
114,POR,2017/11/01,UTA,145,-170.0,197.0,3.0
115,DAL,2017/11/01,LAC,425,-600.0,204.5,9.0
116,GSW,2017/11/02,SAS,-350,275.0,219.0,6.5
117,LAL,2017/11/02,POR,190,-240.0,210.5,8.5
118,CLE,2017/11/03,WAS,135,-155.0,220.0,3.5
119,CHI,2017/11/03,ORL,275,-350.0,207.0,8.0
120,MIL,2017/11/03,DET,100,-120.0,205.0,3.0
121,IND,2017/11/03,PHI,170,-200.0,220.0,5.5
122,HOU,2017/11/03,ATL,-420,320.0,211.5,8.0
123,PHX,2017/11/03,NYK,160,-190.0,222.5,3.5
124,CHA,2017/11/03,SAS,165,-195.0,198.0,3.5
125,NOP,2017/11/03,DAL,-200,170.0,213.0,4.5
126,TOR,2017/11/03,UTA,110,-130.0,195.0,2.0
127,MIA,2017/11/03,DEN,190,-240.0,214.0,5.0
128,BOS,2017/11/03,OKC,210,-260.0,205.0,5.5
129,BKN,2017/11/03,LAL,135,-155.0,224.0,2.0
130,MEM,2017/11/04,LAC,180,-220.0,199.0,5.5
131,SAC,2017/11/04,DET,325,-425.0,197.0,8.5
132,NOP,2017/11/04,CHI,-220,180.0,203.0,7.0
133,DAL,2017/11/04,MIN,600,-900.0,215.0,12.5
134,GSW,2017/11/04,DEN,-430,330.0,229.0,7.5
135,ATL,2017/11/05,CLE,650,-1000.0,218.0,13.5
136,MIA,2017/11/05,LAC,190,-240.0,209.5,5.5
137,WAS,2017/11/05,TOR,220,-270.0,218.0,5.0
138,BOS,2017/11/05,ORL,-155,135.0,205.0,3.0
139,UTA,2017/11/05,HOU,200,-250.0,200.0,6.5
140,PHX,2017/11/05,SAS,425,-600.0,214.0,10.0
141,IND,2017/11/05,NYK,-110,-110.0,216.5,2.0
142,CHA,2017/11/05,MIN,160,-190.0,216.5,5.0
143,OKC,2017/11/05,POR,-155,135.0,206.5,3.0
144,MEM,2017/11/05,LAL,-140,120.0,205.5,1.5
145,BOS,2017/11/06,ATL,-350,275.0,206.0,8.5
146,BKN,2017/11/06,PHX,-110,-110.0,236.0,1.0
147,MIA,2017/11/06,GSW,950,-1800.0,226.0,15.5
148,MIL,2017/11/07,CLE,180,-220.0,217.5,4.0
149,DAL,2017/11/07,WAS,425,-600.0,213.5,11.0
150,NOP,2017/11/07,IND,-120,100.0,218.0,0.0
151,CHI,2017/11/07,TOR,575,-850.0,198.5,11.5
152,CHA,2017/11/07,NYK,-135,115.0,209.5,2.0
153,LAC,2017/11/07,SAS,155,-185.0,201.0,3.0
154,PHI,2017/11/07,UTA,215,-265.0,201.5,6.0
155,BKN,2017/11/07,DEN,650,-1000.0,233.0,10.5
156,MEM,2017/11/07,POR,120,-140.0,204.0,2.5
157,OKC,2017/11/07,SAC,-700,500.0,203.5,11.5
158,NYK,2017/11/08,ORL,300,-400.0,213.5,5.5
159,IND,2017/11/08,DET,225,-275.0,210.5,5.5
160,LAL,2017/11/08,BOS,240,-300.0,208.0,9.5
161,MIA,2017/11/08,PHX,-240,190.0,215.5,5.0
162,MIN,2017/11/08,GSW,300,-400.0,230.5,11.5
163,LAL,2017/11/09,WAS,400,-550.0,220.0,9.0
164,NOP,2017/11/09,TOR,180,-220.0,217.5,4.5
165,CLE,2017/11/09,HOU,185,-230.0,227.5,5.0
166,PHI,2017/11/09,SAC,-250,200.0,204.5,7.0
167,OKC,2017/11/09,DEN,-135,115.0,213.5,1.0
168,ATL,2017/11/10,DET,260,-330.0,208.0,9.0
169,CHA,2017/11/10,BOS,125,-145.0,205.5,3.0
170,IND,2017/11/10,CHI,-155,135.0,206.5,4.0
171,MIL,2017/11/10,SAS,170,-200.0,206.5,4.5
172,ORL,2017/11/10,PHX,-170,145.0,226.0,3.5
173,MIA,2017/11/10,UTA,125,-145.0,196.5,3.0
174,LAC,2017/11/10,OKC,190,-240.0,209.5,7.0
175,BKN,2017/11/10,POR,330,-430.0,224.0,8.5
176,ATL,2017/11/11,WAS,400,-550.0,222.0,11.0
177,LAC,2017/11/11,NOP,200,-250.0,213.5,5.5
178,MEM,2017/11/11,HOU,230,-280.0,208.0,5.0
179,SAC,2017/11/11,NYK,215,-265.0,202.0,4.5
180,CLE,2017/11/11,DAL,-250,200.0,217.5,5.5
181,LAL,2017/11/11,MIL,210,-260.0,214.0,5.0
182,PHI,2017/11/11,GSW,800,-1400.0,230.0,14.5
183,CHI,2017/11/11,SAS,450,-650.0,192.5,11.0
184,ORL,2017/11/11,DEN,310,-410.0,222.0,8.0
185,BKN,2017/11/11,UTA,240,-300.0,210.0,9.0
186,MIN,2017/11/11,PHX,-550,400.0,227.0,10.0
187,TOR,2017/11/12,BOS,-160,140.0,199.5,2.0
188,MIA,2017/11/12,DET,115,-135.0,202.5,3.0
189,HOU,2017/11/12,IND,-180,150.0,220.5,2.5
190,DAL,2017/11/12,OKC,450,-650.0,209.0,12.0
191,SAC,2017/11/13,WAS,534,-750.0,207.0,11.5
192,CLE,2017/11/13,NYK,-225,188.0,220.5,3.5
193,MEM,2017/11/13,MIL,151,-175.0,200.5,3.0
194,ATL,2017/11/13,NOP,384,-500.0,217.0,9.5
195,MIN,2017/11/13,UTA,-145,125.0,206.5,3.5
196,LAL,2017/11/13,PHX,-105,-115.0,227.5,1.0
197,DEN,2017/11/13,POR,110,-130.0,211.5,2.0
198,PHI,2017/11/13,LAC,110,-130.0,218.5,2.0
199,ORL,2017/11/13,GSW,711,-1100.0,233.0,14.5
200,BOS,2017/11/14,BKN,-280,230.0,211.5,8.0
201,TOR,2017/11/14,HOU,230,-280.0,220.5,6.0
202,SAS,2017/11/14,DAL,-260,210.0,200.5,6.5
203,WAS,2017/11/15,MIA,110,-130.0,209.5,1.5
204,UTA,2017/11/15,NYK,145,-170.0,202.5,3.0
205,SAC,2017/11/15,ATL,170,-200.0,205.0,3.5
206,SAS,2017/11/15,MIN,175,-210.0,209.5,5.0
207,CLE,2017/11/15,CHA,-110,-110.0,217.5,1.5
208,TOR,2017/11/15,NOP,130,-150.0,217.0,3.0
209,CHI,2017/11/15,OKC,750,-1200.0,202.5,12.0
