,Away,Date,Home,MLA,MLH,OU,Spread
0,NYK,2016/10/25,CLE,355,-450.0,205.5,9.5
1,UTA,2016/10/25,POR,195,-235.0,194.0,6.0
2,SAS,2016/10/25,GSW,325,-400.0,210.5,8.0
3,MIA,2016/10/26,ORL,135,-155.0,202.0,4.0
4,DAL,2016/10/26,IND,185,-215.0,207.5,5.0
5,DET,2016/10/26,TOR,210,-260.0,195.0,7.0
6,BKN,2016/10/26,BOS,601,-902.0,209.0,14.0
7,MIN,2016/10/26,MEM,-120,100.0,197.0,3.5
8,CHA,2016/10/26,MIL,-120,100.0,196.0,0.0
9,OKC,2016/10/26,PHI,-460,365.0,208.0,7.0
10,DEN,2016/10/26,NOP,105,-125.0,208.5,4.0
11,SAC,2016/10/26,PHX,130,-150.0,210.0,3.0
12,HOU,2016/10/26,LAL,-260,210.0,220.0,5.0
13,WAS,2016/10/27,ATL,155,-175.0,203.5,2.5
14,BOS,2016/10/27,CHI,-105,-115.0,210.5,1.0
15,LAC,2016/10/27,POR,-140,120.0,208.5,1.5
16,SAS,2016/10/27,SAC,-360,295.0,206.0,8.0
17,CLE,2016/10/28,TOR,-145,125.0,204.5,3.0
18,ORL,2016/10/28,DET,160,-180.0,197.0,4.0
19,IND,2016/10/28,BKN,-230,190.0,211.5,6.5
20,PHX,2016/10/28,OKC,280,-345.0,211.0,10.5
21,CHA,2016/10/28,MIA,-120,100.0,198.0,1.5
22,HOU,2016/10/28,DAL,-130,110.0,217.0,2.0
23,LAL,2016/10/28,UTA,370,-465.0,199.0,9.5
24,GSW,2016/10/28,NOP,-1000,700.0,217.0,9.5
25,ATL,2016/10/29,PHI,-370,285.0,204.0,6.5
26,BOS,2016/10/29,CHA,-145,125.0,206.0,0.0
27,ORL,2016/10/29,CLE,500,-800.0,207.0,11.5
28,MEM,2016/10/29,NYK,135,-155.0,200.0,2.5
29,BKN,2016/10/29,MIL,280,-360.0,206.0,6.5
30,IND,2016/10/29,CHI,145,-165.0,210.0,3.0
31,NOP,2016/10/29,SAS,900,-1900.0,206.0,12.5
32,POR,2016/10/29,DEN,-125,105.0,211.0,1.0
33,MIN,2016/10/29,SAC,-110,-110.0,203.5,2.5
34,UTA,2016/10/30,LAC,295,-360.0,196.0,8.0
35,GSW,2016/10/30,PHX,-791,570.0,225.0,12.0
36,MIL,2016/10/30,DET,250,-315.0,193.5,7.0
37,SAS,2016/10/30,MIA,-290,230.0,195.0,6.0
38,LAL,2016/10/30,OKC,355,-450.0,214.0,8.5
39,WAS,2016/10/30,MEM,-160,140.0,202.5,1.0
40,DAL,2016/10/30,HOU,200,-240.0,216.0,6.5
41,DEN,2016/10/31,TOR,230,-290.0,204.0,7.5
42,CHI,2016/10/31,BKN,-245,205.0,210.5,5.5
43,SAC,2016/10/31,ATL,250,-310.0,202.5,7.5
44,PHX,2016/10/31,LAC,750,-1150.0,207.0,10.5
45,HOU,2016/11/01,CLE,420,-540.0,218.0,8.5
46,LAL,2016/11/01,IND,355,-450.0,216.0,9.5
47,ORL,2016/11/01,PHI,-202,172.0,199.0,4.0
48,NYK,2016/11/01,DET,150,-170.0,198.0,3.5
49,SAC,2016/11/01,MIA,145,-165.0,201.0,4.0
50,MEM,2016/11/01,MIN,285,-350.0,199.0,5.5
51,MIL,2016/11/01,NOP,145,-165.0,206.0,3.0
52,UTA,2016/11/01,SAS,435,-575.0,189.0,11.0
53,GSW,2016/11/01,POR,-240,200.0,225.0,6.0
54,TOR,2016/11/02,WAS,105,-125.0,203.0,1.0
55,PHI,2016/11/02,CHA,850,-1350.0,195.0,11.5
56,HOU,2016/11/02,NYK,-105,-115.0,213.5,1.0
57,LAL,2016/11/02,ATL,750,-1150.0,208.0,11.0
58,DET,2016/11/02,BKN,-170,150.0,204.5,4.0
59,NOP,2016/11/02,MEM,175,-205.0,206.0,6.0
60,CHI,2016/11/02,BOS,144,-164.0,209.5,2.5
