,Away,Date,Home,MLA,MLH,OU,Spread
0,DAL,2014-10-28,SAS,140,-165.0,206.5,6.0
1,ORL,2014-10-28,NOP,380,-475.0,196.0,9.5
2,HOU,2014-10-28,LAL,-300,250.0,209.0,6.5
3,MIL,2014-10-29,CHA,315,-390.0,192.0,9.0
4,PHI,2014-10-29,IND,290,-350.0,194.0,8.5
5,BKN,2014-10-29,BOS,-105,-115.0,191.0,1.5
6,ATL,2014-10-29,TOR,161,-190.0,199.5,5.5
7,WAS,2014-10-29,MIA,180,-210.0,194.0,4.5
8,CHI,2014-10-29,NYK,-195,166.0,190.0,4.0
9,MIN,2014-10-29,MEM,290,-350.0,198.0,8.5
10,DET,2014-10-29,DEN,225,-270.0,211.0,7.5
11,HOU,2014-10-29,UTA,-160,135.0,203.0,4.5
12,LAL,2014-10-29,PHX,750,-1100.0,207.0,8.5
13,GSW,2014-10-29,SAC,-195,166.0,204.5,4.0
14,OKC,2014-10-29,POR,380,-475.0,201.5,4.5
15,WAS,2014-10-30,ORL,-190,161.0,189.0,5.0
16,NYK,2014-10-30,CLE,825,-1325.0,199.0,10.0
17,DET,2014-10-30,MIN,195,-230.0,205.0,3.5
18,UTA,2014-10-30,DAL,500,-650.0,202.5,9.5
19,OKC,2014-10-30,LAC,800,-1200.0,202.0,9.5
20,MEM,2014-10-31,IND,-270,225.0,186.0,5.5
21,CLE,2014-10-31,CHI,155,-180.0,193.5,2.5
22,PHI,2014-10-31,MIL,340,-420.0,200.0,8.0
23,POR,2014-10-31,SAC,-190,161.0,201.0,5.5
24,SAS,2014-10-31,PHX,-115,-105.0,206.0,1.5
25,LAC,2014-10-31,LAL,-900,600.0,210.0,11.5
26,MEM,2014-11-01,CHA,135,-160.0,188.5,2.5
27,DAL,2014-11-01,NOP,-105,-115.0,202.0,1.0
28,TOR,2014-11-01,ORL,-235,195.0,196.0,7.0
29,MIA,2014-11-01,PHI,-450,355.0,199.5,8.5
30,MIL,2014-11-01,WAS,355,-450.0,197.5,8.5
31,BKN,2014-11-01,DET,130,-150.0,197.5,3.5
32,IND,2014-11-01,ATL,500,-650.0,193.0,9.5
33,CHI,2014-11-01,MIN,-130,110.0,192.0,4.5
34,BOS,2014-11-01,HOU,290,-350.0,205.5,8.0
35,DEN,2014-11-01,OKC,-200,170.0,196.0,5.5
36,PHX,2014-11-01,UTA,-130,110.0,205.5,2.0
37,LAL,2014-11-01,GSW,900,-1500.0,207.0,15.5
38,SAC,2014-11-02,LAC,380,-480.0,206.5,10.5
39,TOR,2014-11-02,MIA,110,-130.0,196.0,3.5
40,CHA,2014-11-02,NYK,140,-165.0,190.5,2.0
41,GSW,2014-11-02,POR,140,-165.0,203.0,3.5
42,HOU,2014-11-03,PHI,-850,600.0,205.0,10.0
43,OKC,2014-11-03,BKN,230,-275.0,193.0,7.0
44,NOP,2014-11-03,MEM,155,-180.0,188.5,6.0
45,BOS,2014-11-03,DAL,395,-515.0,208.0,9.0
46,SAC,2014-11-03,DEN,240,-290.0,203.0,8.0
47,UTA,2014-11-03,LAC,430,-550.0,206.5,9.5
48,MIL,2014-11-04,IND,150,-175.0,192.0,3.0
49,OKC,2014-11-04,TOR,600,-900.0,192.0,9.0
50,WAS,2014-11-04,NYK,-130,110.0,191.0,2.0
51,HOU,2014-11-04,MIA,117,-137.0,201.0,0.0
