,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,WPCT,SEASON_YEAR-,TEAM_ID-,TEAM_ABBREVIATION-,TEAM_NAME-,GAME_ID-,GAME_DATE-,MATCHUP-,WL-,MIN-,FGM-,FGA-,FG_PCT-,FG3M-,FG3A-,FG3_PCT-,FTM-,FTA-,FT_PCT-,OREB-,DREB-,REB-,AST-,TOV-,STL-,BLK-,BLKA-,PF-,PFD-,PTS-,PLUS_MINUS-,WPCT-,Away,Date,Home,MLA,MLH,OU,Spread
0,2015-16,1610612741,CHI,Chicago Bulls,21500002,2015-10-27,CHI vs. CLE,W,48.0,0.7708333333333334,1.8125,0.425,0.14583333333333334,0.3958333333333333,0.368,0.3333333333333333,0.4791666666666667,0.696,0.14583333333333334,0.8333333333333334,0.9791666666666666,0.2708333333333333,0.2708333333333333,0.125,0.2083333333333333,0.14583333333333334,0.4583333333333333,0.4375,2.020833333333333,2.0,1.0,2015-16,1610612739,CLE,Cleveland Cavaliers,21500002,2015-10-27T00:00:00,CLE @ CHI,L,48.0,0.7916666666666666,1.9583333333333333,0.404,0.1875,0.6041666666666666,0.31,0.2083333333333333,0.3541666666666667,0.588,0.22916666666666666,0.8125,1.0416666666666667,0.5416666666666666,0.22916666666666666,0.10416666666666667,0.14583333333333334,0.2083333333333333,0.4375,0.4583333333333333,1.9791666666666667,-2.0,0.0,CLE,2015-10-27,CHI,160,-180.0,197.5,-2.0
1,2015-16,1610612744,GSW,Golden State Warriors,21500003,2015-10-27,GSW vs. NOP,W,48.0,0.8541666666666666,2.0,0.4270000000000001,0.1875,0.625,0.3,0.4166666666666667,0.4583333333333333,0.909,0.4375,0.7291666666666666,1.1666666666666667,0.6041666666666666,0.4166666666666667,0.16666666666666666,0.14583333333333334,0.0625,0.6041666666666666,0.5416666666666666,2.3125,16.0,1.0,2015-16,1610612740,NOP,New Orleans Pelicans,21500003,2015-10-27T00:00:00,NOP @ GSW,L,48.0,0.7291666666666666,1.7291666666666667,0.422,0.125,0.375,0.333,0.3958333333333333,0.5625,0.7040000000000001,0.16666666666666666,0.5208333333333334,0.6875,0.4375,0.3958333333333333,0.1875,0.0625,0.14583333333333334,0.5416666666666666,0.6041666666666666,1.9791666666666667,-16.0,0.0,NOP,2015-10-27,GSW,510,-710.0,214.5,-9.5
2,2015-16,1610612737,ATL,Atlanta Hawks,21500001,2015-10-27,ATL vs. DET,L,48.0,0.7708333333333334,1.7083333333333333,0.451,0.16666666666666666,0.5625,0.29600000000000004,0.25,0.3125,0.8,0.14583333333333334,0.6875,0.8333333333333334,0.4583333333333333,0.3125,0.1875,0.08333333333333333,0.0625,0.5208333333333334,0.3125,1.9583333333333333,-12.0,0.0,2015-16,1610612765,DET,Detroit Pistons,21500001,2015-10-27T00:00:00,DET @ ATL,W,48.0,0.7708333333333334,2.0,0.385,0.25,0.6041666666666666,0.414,0.4166666666666667,0.5416666666666666,0.769,0.4791666666666667,0.75,1.2291666666666667,0.4791666666666667,0.3125,0.10416666666666667,0.0625,0.08333333333333333,0.3125,0.5208333333333334,2.208333333333333,12.0,1.0,DET,2015-10-27,ATL,255,-320.0,197.5,-7.0
2,2015-16,1610612739,CLE,Cleveland Cavaliers,21500002,2015-10-27,CLE @ CHI,L,48.0,0.7916666666666666,1.9583333333333333,0.404,0.1875,0.6041666666666666,0.31,0.2083333333333333,0.3541666666666667,0.588,0.22916666666666666,0.8125,1.0416666666666667,0.5416666666666666,0.22916666666666666,0.10416666666666667,0.14583333333333334,0.2083333333333333,0.4375,0.4583333333333333,1.9791666666666667,-2.0,0.0,2015-16,1610612741,CHI,Chicago Bulls,21500002,2015-10-27T00:00:00,CHI vs. CLE,W,48.0,0.7708333333333334,1.8125,0.425,0.14583333333333334,0.3958333333333333,0.368,0.3333333333333333,0.4791666666666667,0.696,0.14583333333333334,0.8333333333333334,0.9791666666666666,0.2708333333333333,0.2708333333333333,0.125,0.2083333333333333,0.14583333333333334,0.4583333333333333,0.4375,2.020833333333333,2.0,1.0,CLE,2015-10-27,CHI,160,-180.0,197.5,2.0
0,2015-16,1610612765,DET,Detroit Pistons,21500001,2015-10-27,DET @ ATL,W,48.0,0.7708333333333334,2.0,0.385,0.25,0.6041666666666666,0.414,0.4166666666666667,0.5416666666666666,0.769,0.4791666666666667,0.75,1.2291666666666667,0.4791666666666667,0.3125,0.10416666666666667,0.0625,0.08333333333333333,0.3125,0.5208333333333334,2.208333333333333,12.0,1.0,2015-16,1610612737,ATL,Atlanta Hawks,21500001,2015-10-27T00:00:00,ATL vs. DET,L,48.0,0.7708333333333334,1.7083333333333333,0.451,0.16666666666666666,0.5625,0.29600000000000004,0.25,0.3125,0.8,0.14583333333333334,0.6875,0.8333333333333334,0.4583333333333333,0.3125,0.1875,0.08333333333333333,0.0625,0.5208333333333334,0.3125,1.9583333333333333,-12.0,0.0,DET,2015-10-27,ATL,255,-320.0,197.5,7.0
1,2015-16,1610612740,NOP,New Orleans Pelicans,21500003,2015-10-27,NOP @ GSW,L,48.0,0.7291666666666666,1.7291666666666667,0.422,0.125,0.375,0.333,0.3958333333333333,0.5625,0.7040000000000001,0.16666666666666666,0.5208333333333334,0.6875,0.4375,0.3958333333333333,0.1875,0.0625,0.14583333333333334,0.5416666666666666,0.6041666666666666,1.9791666666666667,-16.0,0.0,2015-16,1610612744,GSW,Golden State Warriors,21500003,2015-10-27T00:00:00,GSW vs. NOP,W,48.0,0.8541666666666666,2.0,0.4270000000000001,0.1875,0.625,0.3,0.4166666666666667,0.4583333333333333,0.909,0.4375,0.7291666666666666,1.1666666666666667,0.6041666666666666,0.4166666666666667,0.16666666666666666,0.14583333333333334,0.0625,0.6041666666666666,0.5416666666666666,2.3125,16.0,1.0,NOP,2015-10-27,GSW,510,-710.0,214.5,9.5
3,2015-16,1610612766,CHA,Charlotte Hornets,21500008,2015-10-28,CHA @ MIA,L,48.0,0.6875,1.75,0.393,0.125,0.5,0.25,0.4583333333333333,0.6041666666666666,0.759,0.22916666666666666,0.6666666666666666,0.8958333333333334,0.3333333333333333,0.1875,0.08333333333333333,0.020833333333333332,0.14583333333333334,0.3333333333333333,0.5208333333333334,1.9583333333333333,-10.0,0.0,2015-16,1610612748,MIA,Miami Heat,21500008,2015-10-28T00:00:00,MIA vs. CHA,W,48.0,0.75,1.5208333333333333,0.493,0.25,0.4166666666666667,0.6,0.4166666666666667,0.4375,0.952,0.041666666666666664,0.8125,0.8541666666666666,0.4791666666666667,0.2708333333333333,0.10416666666666667,0.14583333333333334,0.020833333333333332,0.5208333333333334,0.3333333333333333,2.1666666666666665,10.0,1.0,CHA,2015-10-28,MIA,210,-260.0,193.0,6.5
4,2015-16,1610612742,DAL,Dallas Mavericks,21500014,2015-10-28,DAL @ PHX,W,48.0,0.8333333333333334,1.7708333333333333,0.471,0.2083333333333333,0.4375,0.476,0.4375,0.6458333333333334,0.677,0.125,0.875,1.0,0.5,0.16666666666666666,0.14583333333333334,0.0625,0.0625,0.5208333333333334,0.625,2.3125,16.0,1.0,2015-16,1610612756,PHX,Phoenix Suns,21500014,2015-10-28T00:00:00,PHX vs. DAL,L,48.0,0.7083333333333334,1.8125,0.391,0.125,0.5,0.25,0.4375,0.6875,0.636,0.2708333333333333,0.8333333333333334,1.1041666666666667,0.3125,0.375,0.0625,0.0625,0.0625,0.625,0.5208333333333334,1.9791666666666667,-16.0,0.0,DAL,2015-10-28,PHX,210,-260.0,204.0,4.5
5,2015-16,1610612741,CHI,Chicago Bulls,21500006,2015-10-28,CHI @ BKN,W,48.0,0.875,1.625,0.5379999999999999,0.2916666666666667,0.5833333333333334,0.5,0.3541666666666667,0.4166666666666667,0.85,0.10416666666666667,0.7083333333333334,0.8125,0.4166666666666667,0.4166666666666667,0.1875,0.0625,0.10416666666666667,0.5,0.375,2.395833333333333,15.0,1.0,2015-16,1610612751,BKN,Brooklyn Nets,21500006,2015-10-28T00:00:00,BKN vs. CHI,L,48.0,0.8125,1.9375,0.419,0.0,0.1875,0.0,0.4583333333333333,0.5833333333333334,0.7859999999999999,0.3333333333333333,0.6041666666666666,0.9375,0.3958333333333333,0.2708333333333333,0.22916666666666666,0.10416666666666667,0.0625,0.375,0.5,2.083333333333333,-15.0,0.0,CHI,2015-10-28,BKN,-205,175.0,194.5,-6.0
6,2015-16,1610612740,NOP,New Orleans Pelicans,21500015,2015-10-28,NOP @ POR,L,48.0,0.75,1.8958333333333333,0.396,0.22916666666666666,0.6875,0.333,0.22916666666666666,0.375,0.611,0.10416666666666667,0.7083333333333334,0.8125,0.3958333333333333,0.22916666666666666,0.14583333333333334,0.041666666666666664,0.08333333333333333,0.3541666666666667,0.4375,1.9583333333333333,-18.0,0.0,2015-16,1610612757,POR,Portland Trail Blazers,21500015,2015-10-28T00:00:00,POR vs. NOP,W,48.0,0.9166666666666666,1.8333333333333333,0.5,0.25,0.6666666666666666,0.375,0.25,0.2916666666666667,0.857,0.125,0.9375,1.0625,0.4583333333333333,0.25,0.14583333333333334,0.08333333333333333,0.041666666666666664,0.4375,0.3541666666666667,2.333333333333333,18.0,1.0,NOP,2015-10-28,POR,105,-125.0,206.0,2.5
