,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
0,2018-19,1610612759,SAS,San Antonio Spurs,0021801227,2019-04-10T00:00:00,SAS vs. DAL,W,48.0,0.8541666666666666,1.8333333333333333,0.466,0.16666666666666666,0.5,0.333,0.3125,0.375,0.833,0.16666666666666666,0.9375,1.1041666666666667,0.4583333333333333,0.22916666666666666,0.125,0.041666666666666664,0.08333333333333333,0.2916666666666667,0.3958333333333333,2.1875,11.0
1,2018-19,1610612746,LAC,LA Clippers,0021801229,2019-04-10T00:00:00,LAC vs. UTA,W,53.0,1.0188679245283019,2.0,0.509,0.22641509433962265,0.5283018867924528,0.429,0.4339622641509434,0.5660377358490566,0.767,0.22641509433962265,0.7547169811320755,0.9811320754716981,0.6415094339622641,0.22641509433962265,0.1320754716981132,0.09433962264150944,0.20754716981132076,0.5094339622641509,0.4528301886792453,2.69811320754717,6.0
2,2018-19,1610612760,OKC,Oklahoma City Thunder,0021801226,2019-04-10T00:00:00,OKC @ MIL,W,48.0,1.0,2.0625,0.485,0.4791666666666667,1.125,0.426,0.16666666666666666,0.2708333333333333,0.615,0.1875,0.9166666666666666,1.1041666666666667,0.8333333333333334,0.2708333333333333,0.14583333333333334,0.0625,0.020833333333333332,0.4166666666666667,0.2916666666666667,2.6458333333333335,11.0
3,2018-19,1610612744,GSW,Golden State Warriors,0021801225,2019-04-10T00:00:00,GSW @ MEM,L,48.0,0.9583333333333334,1.9166666666666667,0.5,0.2708333333333333,0.625,0.433,0.25,0.2916666666666667,0.857,0.1875,0.625,0.8125,0.6666666666666666,0.2916666666666667,0.0625,0.10416666666666667,0.0,0.3541666666666667,0.375,2.4375,-15.0
4,2018-19,1610612748,MIA,Miami Heat,0021801221,2019-04-10T00:00:00,MIA @ BKN,L,48.0,0.7916666666666666,2.0416666666666665,0.388,0.16666666666666666,0.8541666666666666,0.195,0.20833333333333334,0.3125,0.667,0.16666666666666666,0.9583333333333334,1.125,0.4583333333333333,0.3125,0.1875,0.08333333333333333,0.0625,0.25,0.2708333333333333,1.9583333333333333,-19.0
5,2018-19,1610612762,UTA,Utah Jazz,0021801229,2019-04-10T00:00:00,UTA @ LAC,L,53.0,0.8867924528301887,2.0,0.443,0.2641509433962264,0.660377358490566,0.4,0.5471698113207547,0.6226415094339622,0.879,0.32075471698113206,0.7547169811320755,1.0754716981132075,0.5849056603773585,0.32075471698113206,0.1509433962264151,0.20754716981132076,0.09433962264150944,0.4528301886792453,0.5094339622641509,2.5849056603773586,-6.0
6,2018-19,1610612755,PHI,Philadelphia 76ers,0021801224,2019-04-10T00:00:00,PHI vs. CHI,W,48.0,1.0833333333333333,1.9375,0.559,0.25,0.5416666666666666,0.462,0.1875,0.3125,0.6,0.1875,0.7916666666666666,0.9791666666666666,0.625,0.14583333333333334,0.08333333333333333,0.20833333333333334,0.0625,0.22916666666666666,0.2708333333333333,2.6041666666666665,16.0
7,2018-19,1610612750,MIN,Minnesota Timberwolves,0021801228,2019-04-10T00:00:00,MIN @ DEN,L,48.0,0.8125,1.8958333333333333,0.429,0.2708333333333333,0.6666666666666666,0.406,0.08333333333333333,0.125,0.667,0.14583333333333334,0.7083333333333334,0.8541666666666666,0.5,0.20833333333333334,0.125,0.0,0.08333333333333333,0.4583333333333333,0.25,1.9791666666666667,-4.0
8,2018-19,1610612765,DET,Detroit Pistons,0021801223,2019-04-10T00:00:00,DET @ NYK,W,48.0,0.8541666666666666,1.7708333333333333,0.482,0.2916666666666667,0.6875,0.424,0.3958333333333333,0.4166666666666667,0.95,0.22916666666666666,0.9375,1.1666666666666667,0.5208333333333334,0.2916666666666667,0.10416666666666667,0.041666666666666664,0.10416666666666667,0.4791666666666667,0.3541666666666667,2.3958333333333335,26.0
9,2018-19,1610612758,SAC,Sacramento Kings,0021801230,2019-04-10T00:00:00,SAC @ POR,L,48.0,1.0416666666666667,2.0,0.521,0.375,0.8958333333333334,0.419,0.2708333333333333,0.3333333333333333,0.813,0.25,0.4791666666666667,0.7291666666666666,0.5208333333333334,0.20833333333333334,0.10416666666666667,0.020833333333333332,0.041666666666666664,0.3541666666666667,0.3541666666666667,2.7291666666666665,-5.0
10,2018-19,1610612754,IND,Indiana Pacers,0021801220,2019-04-10T00:00:00,IND @ ATL,W,48.0,0.9375,2.0416666666666665,0.459,0.25,0.625,0.4,0.6875,0.8125,0.846,0.2708333333333333,0.625,0.8958333333333334,0.4583333333333333,0.16666666666666666,0.25,0.14583333333333334,0.14583333333333334,0.5833333333333334,0.5208333333333334,2.8125,1.0
11,2018-19,1610612741,CHI,Chicago Bulls,0021801224,2019-04-10T00:00:00,CHI @ PHI,L,48.0,0.9375,1.9791666666666667,0.474,0.1875,0.5,0.375,0.20833333333333334,0.3125,0.667,0.1875,0.625,0.8125,0.4375,0.16666666666666666,0.08333333333333333,0.0625,0.20833333333333334,0.2708333333333333,0.22916666666666666,2.2708333333333335,-16.0
