,Away,Date,Home,MLA,MLH,OU,Spread
0,GSW,2020/12/22,BKN,265,-320.0,228.0,5.5
1,LAC,2020/12/22,LAL,115,-135.0,223.0,2.5
2,CHA,2020/12/23,CLE,-140,120.0,215.0,1.0
3,NYK,2020/12/23,IND,270,-330.0,214.5,8.5
4,MIA,2020/12/23,ORL,-190,170.0,220.5,3.5
5,WAS,2020/12/23,PHI,250,-300.0,229.0,7.5
6,MIL,2020/12/23,BOS,-190,170.0,226.0,2.5
7,NOP,2020/12/23,TOR,150,-170.0,230.0,5.0
8,ATL,2020/12/23,CHI,-130,110.0,227.0,1.5
9,SAS,2020/12/23,MEM,110,-130.0,231.5,3.0
10,DET,2020/12/23,MIN,190,-220.0,227.0,5.5
11,SAC,2020/12/23,DEN,260,-310.0,224.5,8.0
12,UTA,2020/12/23,POR,-130,110.0,229.0,1.5
13,DAL,2020/12/23,PHX,100,-120.0,237.0,0.0
14,NOP,2020/12/25,MIA,130,-150.0,229.0,5.0
15,GSW,2020/12/25,MIL,450,-600.0,233.5,8.5
16,BKN,2020/12/25,BOS,-145,125.0,227.0,0.0
17,DAL,2020/12/25,LAL,225,-265.0,230.0,6.5
18,LAC,2020/12/25,DEN,-160,140.0,222.0,2.0
19,ATL,2020/12/26,MEM,120,-140.0,237.5,1.0
20,CLE,2020/12/26,DET,-110,-110.0,220.0,3.0
21,ORL,2020/12/26,WAS,110,-130.0,228.5,1.0
22,OKC,2020/12/26,CHA,125,-145.0,218.5,3.0
23,PHI,2020/12/26,NYK,-360,300.0,219.0,8.0
24,IND,2020/12/26,CHI,-240,200.0,222.5,3.0
25,TOR,2020/12/26,SAS,-145,125.0,225.5,2.0
26,MIN,2020/12/26,UTA,375,-450.0,225.5,8.0
27,PHX,2020/12/26,SAC,-160,140.0,230.0,4.5
28,HOU,2020/12/26,POR,300,-360.0,225.0,8.5
29,DAL,2020/12/27,LAC,140,-160.0,230.0,4.5
30,SAS,2020/12/27,NOP,170,-190.0,226.5,5.5
31,ORL,2020/12/27,WAS,-130,110.0,225.5,1.5
32,BKN,2020/12/27,CHA,-600,450.0,224.0,7.5
33,PHI,2020/12/27,CLE,-240,200.0,218.5,5.5
34,MIL,2020/12/27,NYK,-1200,750.0,223.5,11.0
35,BOS,2020/12/27,IND,-135,115.0,219.0,3.0
36,GSW,2020/12/27,CHI,-165,145.0,226.0,2.0
37,PHX,2020/12/27,SAC,-160,140.0,224.5,3.5
38,MIN,2020/12/28,LAL,400,-500.0,224.0,11.0
39,MEM,2020/12/28,BKN,-125,105.0,235.0,7.0
40,DET,2020/12/28,ATL,400,-500.0,226.5,8.5
41,UTA,2020/12/28,OKC,-400,330.0,221.0,5.0
42,HOU,2020/12/28,DEN,225,-265.0,225.5,9.0
43,POR,2020/12/28,LAL,195,-230.0,227.5,4.5
44,BOS,2020/12/29,IND,-105,-115.0,220.0,1.0
