,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
0,2017-18,1610612746,LAC,LA Clippers,0021701228,2018-04-11T00:00:00,LAC vs. LAL,L,48.0,0.8541666666666666,1.7291666666666667,0.494,0.125,0.375,0.333,0.25,0.5833333333333334,0.429,0.16666666666666666,0.6875,0.8541666666666666,0.5625,0.3541666666666667,0.16666666666666666,0.020833333333333332,0.125,0.3541666666666667,0.4791666666666667,2.0833333333333335,-15.0
1,2017-18,1610612740,NOP,New Orleans Pelicans,0021701226,2018-04-11T00:00:00,NOP vs. SAS,W,48.0,1.0833333333333333,1.8333333333333333,0.591,0.10416666666666667,0.3958333333333333,0.263,0.2708333333333333,0.3958333333333333,0.684,0.22916666666666666,0.8333333333333334,1.0625,0.625,0.3958333333333333,0.22916666666666666,0.10416666666666667,0.020833333333333332,0.4166666666666667,0.3541666666666667,2.5416666666666665,24.0
2,2017-18,1610612739,CLE,Cleveland Cavaliers,0021701220,2018-04-11T00:00:00,CLE vs. NYK,L,48.0,0.7708333333333334,1.9583333333333333,0.394,0.125,0.5,0.25,0.375,0.5833333333333334,0.643,0.3541666666666667,0.6458333333333334,1.0,0.3125,0.3333333333333333,0.1875,0.0625,0.0625,0.3125,0.4583333333333333,2.0416666666666665,-12.0
3,2017-18,1610612750,MIN,Minnesota Timberwolves,0021701225,2018-04-11T00:00:00,MIN vs. DEN,W,53.0,0.7924528301886793,1.679245283018868,0.472,0.16981132075471697,0.4339622641509434,0.391,0.3584905660377358,0.4716981132075472,0.76,0.1509433962264151,0.6037735849056604,0.7547169811320755,0.4528301886792453,0.1509433962264151,0.18867924528301888,0.03773584905660377,0.07547169811320754,0.3584905660377358,0.41509433962264153,2.1132075471698113,6.0
4,2017-18,1610612761,TOR,Toronto Raptors,0021701221,2018-04-11T00:00:00,TOR @ MIA,L,53.0,0.7924528301886793,1.7358490566037736,0.457,0.16981132075471697,0.5660377358490566,0.3,0.3018867924528302,0.39622641509433965,0.762,0.16981132075471697,0.7169811320754716,0.8867924528301887,0.4528301886792453,0.2641509433962264,0.09433962264150944,0.18867924528301888,0.1320754716981132,0.4528301886792453,0.33962264150943394,2.056603773584906,-7.0
5,2017-18,1610612751,BKN,Brooklyn Nets,0021701219,2018-04-11T00:00:00,BKN @ BOS,L,48.0,0.7708333333333334,1.8958333333333333,0.407,0.22916666666666666,0.8333333333333334,0.275,0.25,0.3333333333333333,0.75,0.20833333333333334,0.7083333333333334,0.9166666666666666,0.5625,0.3333333333333333,0.20833333333333334,0.125,0.125,0.25,0.2916666666666667,2.0208333333333335,-13.0
6,2017-18,1610612760,OKC,Oklahoma City Thunder,0021701227,2018-04-11T00:00:00,OKC vs. MEM,W,48.0,0.9791666666666666,1.7708333333333333,0.553,0.4166666666666667,0.8958333333333334,0.465,0.4791666666666667,0.6666666666666666,0.719,0.16666666666666666,0.7708333333333334,0.9375,0.6666666666666666,0.2916666666666667,0.16666666666666666,0.0625,0.041666666666666664,0.4791666666666667,0.4583333333333333,2.8541666666666665,14.0
7,2017-18,1610612765,DET,Detroit Pistons,0021701224,2018-04-11T00:00:00,DET @ CHI,W,48.0,0.9791666666666666,1.8541666666666667,0.528,0.3125,0.7291666666666666,0.429,0.20833333333333334,0.20833333333333334,1.0,0.14583333333333334,0.8333333333333334,0.9791666666666666,0.5625,0.25,0.25,0.08333333333333333,0.020833333333333332,0.4375,0.3125,2.4791666666666665,32.0
8,2017-18,1610612755,PHI,Philadelphia 76ers,0021701223,2018-04-11T00:00:00,PHI vs. MIL,W,48.0,1.0833333333333333,2.1875,0.495,0.3125,0.75,0.417,0.22916666666666666,0.3125,0.733,0.3541666666666667,0.8333333333333334,1.1875,0.7291666666666666,0.25,0.3125,0.14583333333333334,0.10416666666666667,0.3541666666666667,0.3541666666666667,2.7083333333333335,35.0
9,2017-18,1610612759,SAS,San Antonio Spurs,0021701226,2018-04-11T00:00:00,SAS @ NOP,L,48.0,0.7708333333333334,1.9166666666666667,0.402,0.16666666666666666,0.5,0.333,0.3333333333333333,0.3958333333333333,0.842,0.25,0.5416666666666666,0.7916666666666666,0.4583333333333333,0.3541666666666667,0.1875,0.020833333333333332,0.10416666666666667,0.3541666666666667,0.4166666666666667,2.0416666666666665,-24.0
10,2017-18,1610612747,LAL,Los Angeles Lakers,0021701228,2018-04-11T00:00:00,LAL @ LAC,W,48.0,0.875,1.8333333333333333,0.477,0.3541666666666667,0.8125,0.436,0.2916666666666667,0.3333333333333333,0.875,0.20833333333333334,0.8125,1.0208333333333333,0.5208333333333334,0.3541666666666667,0.16666666666666666,0.125,0.020833333333333332,0.4791666666666667,0.3541666666666667,2.3958333333333335,15.0
11,2017-18,1610612748,MIA,Miami Heat,0021701221,2018-04-11T00:00:00,MIA vs. TOR,W,53.0,0.8679245283018868,2.0,0.434,0.20754716981132076,0.49056603773584906,0.423,0.24528301886792453,0.37735849056603776,0.65,0.3584905660377358,0.6981132075471698,1.0566037735849056,0.49056603773584906,0.16981132075471697,0.1509433962264151,0.1320754716981132,0.18867924528301888,0.33962264150943394,0.4528301886792453,2.188679245283019,7.0
