,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,WPCT,SEASON_YEAR-,TEAM_ID-,TEAM_ABBREVIATION-,TEAM_NAME-,GAME_ID-,GAME_DATE-,MATCHUP-,WL-,MIN-,FGM-,FGA-,FG_PCT-,FG3M-,FG3A-,FG3_PCT-,FTM-,FTA-,FT_PCT-,OREB-,DREB-,REB-,AST-,TOV-,STL-,BLK-,BLKA-,PF-,PFD-,PTS-,PLUS_MINUS-,WPCT-,Away,Date,Home,MLA,MLH,OU,Spread
0,2016-17,1610612739,CLE,Cleveland Cavaliers,21600001,2016-10-25,CLE vs. NYK,W,48.0,0.799034056947596,1.734772627492052,0.4619512195121951,0.2216936501261565,0.6114902526302427,0.3624512195121952,0.33600655378707345,0.4492026953044418,0.7491463414634144,0.2197953528412968,0.6995680067812385,0.9193633596225361,0.4691148155788649,0.2806225238163246,0.13874430709173716,0.07968484694606216,0.09073841185711791,0.41953659330022053,0.425734160358845,2.4375,29.0,0.7165548175327412,2016-17,1610612752,NYK,New York Knicks,21600001,2016-10-25T00:00:00,NYK @ CLE,L,48.0,0.7603690604651658,1.6962481354237742,0.449609756097561,0.16284693019343982,0.4689407554046264,0.34491463414634155,0.34709979053271334,0.46742677901730223,0.7444512195121954,0.19125791453099955,0.6556940984178871,0.8469520129488871,0.4423140118274963,0.2750719382600462,0.1487966540774711,0.09073841185711791,0.07968484694606216,0.425734160358845,0.41953659330022053,1.8333333333333333,-29.0,0.47534411526137565,NYK,2016-10-25,CLE,355,-450.0,205.5,-9.5
2,2016-17,1610612752,NYK,New York Knicks,21600001,2016-10-25,NYK @ CLE,L,48.0,0.7626412647909822,1.7389391619192702,0.44009756097560976,0.15405399865644728,0.44539634807538714,0.3429634146341464,0.3560724024205108,0.44250394073556887,0.8104024390243902,0.21489406297771496,0.7041248128811805,0.9190188758588953,0.4246165717187425,0.27757357802920907,0.11797808527857562,0.11754053800297273,0.08664593152112396,0.408059035657045,0.3835737446509142,1.8333333333333333,-29.0,0.45467236843614867,2016-17,1610612739,CLE,Cleveland Cavaliers,21600001,2016-10-25T00:00:00,CLE vs. NYK,W,48.0,0.7861673238967264,1.7761683685883698,0.44357317073170693,0.15788762027177852,0.4637652339844806,0.33696341463414636,0.36226418400325844,0.4803437630586454,0.7572804878048781,0.2246847411545033,0.6902512417284226,0.9149359828829258,0.43009988045553854,0.2341099425551836,0.14860292328525107,0.08664593152112396,0.11754053800297273,0.3835737446509142,0.408059035657045,2.4375,29.0,0.494742862298934,NYK,2016-10-25,CLE,355,-450.0,205.5,9.5
1,2016-17,1610612759,SAS,San Antonio Spurs,21600003,2016-10-25,SAS @ GSW,W,48.0,0.8347330878969167,1.724794830495474,0.4847439024390243,0.1447211995704863,0.3853351741064582,0.37969512195121935,0.340380042951373,0.424029759165516,0.8077926829268292,0.19536642890013806,0.7185151096793987,0.913881538579537,0.5103112057063965,0.2718400061359104,0.17171441171958893,0.12302979751495628,0.08041877588587204,0.36354789845068264,0.4051905967172879,2.6875,29.0,0.8041114920849757,2016-17,1610612744,GSW,Golden State Warriors,21600003,2016-10-25T00:00:00,GSW vs. SAS,L,48.0,0.7430635450222429,1.702437106918238,0.4376707317073172,0.13730537659150177,0.4145430664212302,0.327121951219512,0.30968610983279643,0.4086995704862708,0.7673048780487806,0.18935515416474924,0.6535847139131767,0.8429398680779262,0.43325759318913953,0.30793162294830506,0.15023872526461104,0.08041877588587204,0.12302979751495628,0.4051905967172879,0.36354789845068264,2.083333333333333,-29.0,0.4796095440907725,SAS,2016-10-25,GSW,325,-400.0,210.5,8.0
0,2016-17,1610612762,UTA,Utah Jazz,21600002,2016-10-25,UTA @ POR,L,48.0,0.7410259004184057,1.6519915591559948,0.45019512195121947,0.17374660144617055,0.4894672932171741,0.35607317073170724,0.3510162271027394,0.4716609208626243,0.745048780487805,0.22018777340506007,0.6682117193244149,0.8883994927294752,0.3897275073921852,0.30720595897403347,0.1586620475427266,0.10685608645286192,0.09651330857810853,0.4140979153773319,0.40790629909389525,2.1666666666666665,-9.0,0.4736506873341473,2016-17,1610612757,POR,Portland Trail Blazers,21600002,2016-10-25T00:00:00,POR vs. UTA,W,48.0,0.7318767488667076,1.6416334084453403,0.44608536585365866,0.16223763693394908,0.45537695516024757,0.35807317073170736,0.3432329437559178,0.4606658719075808,0.7479756097560974,0.19183365203040456,0.6320374528566365,0.823871104887041,0.3934951745825201,0.28750955430016245,0.16368582419558744,0.09651330857810853,0.10685608645286192,0.40790629909389525,0.4140979153773319,2.3541666666666665,9.0,0.49968954289486567,UTA,2016-10-25,POR,195,-235.0,194.0,6.0
2,2016-17,1610612757,POR,Portland Trail Blazers,21600002,2016-10-25,POR vs. UTA,W,48.0,0.7997583985273815,1.7773527381500227,0.45091463414634164,0.21802615431814695,0.5894452753489797,0.3688536585365854,0.35951161988034974,0.4769328117809482,0.7517439024390243,0.23927174413253574,0.7026384414787544,0.9419101856112899,0.441397261849977,0.3028886715753949,0.14189772204325815,0.09601741064580455,0.10707643043411566,0.44981975763153875,0.4031053459119498,2.3541666666666665,9.0,0.46514468552157623,2016-17,1610612762,UTA,Utah Jazz,21600002,2016-10-25T00:00:00,UTA @ POR,L,48.0,0.7942073170731709,1.7534562432888485,0.4543902439024391,0.1765752032520326,0.47639112593956134,0.36979268292682926,0.39462053229022853,0.537932389937107,0.7376463414634147,0.21907597024083453,0.6856304647952141,0.9047064350360485,0.4468189139438565,0.27464910262310166,0.15912620800736307,0.10707643043411566,0.09601741064580455,0.4031053459119498,0.44981975763153875,2.1666666666666665,-9.0,0.50908441268684,UTA,2016-10-25,POR,195,-235.0,194.0,-6.0
1,2016-17,1610612744,GSW,Golden State Warriors,21600003,2016-10-25,GSW vs. SAS,L,48.0,0.8783613614844672,1.8005505128245813,0.48847560975609766,0.2715080851198883,0.6523849715156229,0.4142317073170731,0.34387331328583287,0.45064724598124334,0.7678414634146342,0.20513429577204031,0.7478097841323239,0.9529440799043642,0.5975472557669621,0.3132454998915636,0.17319863423097467,0.12517968035080485,0.0844682784010664,0.42796520515628056,0.4093652308107336,2.083333333333333,-29.0,0.9416833959016118,2016-17,1610612759,SAS,San Antonio Spurs,21600003,2016-10-25T00:00:00,SAS @ GSW,W,48.0,0.8018448064278949,1.8439526569550018,0.4352804878048781,0.16099739620525677,0.4846527854917456,0.32551219512195106,0.3839821992478219,0.5070409241421626,0.7556707317073168,0.23565962359363346,0.6692959175037422,0.9049555410973759,0.4583792865417269,0.29799333248700083,0.1786654130366938,0.0844682784010664,0.12517968035080485,0.4093652308107336,0.42796520515628056,2.6875,29.0,0.4632035230408333,SAS,2016-10-25,GSW,325,-400.0,210.5,-8.0
12,2016-17,1610612738,BOS,Boston Celtics,21600006,2016-10-26,BOS vs. BKN,W,48.0,0.8125885228827467,1.8509554112415016,0.4396913580246913,0.17967400820903318,0.5394462316361037,0.33420987654320966,0.38411735490279547,0.48773096272734834,0.7881481481481482,0.24180100725318673,0.6906906725998753,0.932491679853062,0.49794523161200654,0.28450769228709666,0.18916469874776096,0.08769973707532445,0.11395723056244998,0.45084469906905367,0.4345395872992923,2.5416666666666665,5.0,0.5549739566379717,2016-17,1610612751,BKN,Brooklyn Nets,21600006,2016-10-26T00:00:00,BKN @ BOS,L,48.0,0.7795355175894466,1.7645985780112512,0.44302469135802486,0.16250174033644718,0.4834406987049222,0.32988888888888895,0.40390230286673584,0.5353124305538822,0.760617283950617,0.23615796632315106,0.7163847321622209,0.9525426984853719,0.43329323865903063,0.3403433750746337,0.1572114522170548,0.11395723056244998,0.08769973707532445,0.4345395872992923,0.45084469906905367,2.4375,-5.0,0.49975555139338984,BKN,2016-10-26,BOS,601,-902.0,209.0,-14.0
11,2016-17,1610612756,PHX,Phoenix Suns,21600012,2016-10-26,PHX vs. SAC,L,48.0,0.7740259242215064,1.7807035204786013,0.43535365853658514,0.18716444239914093,0.5373187988955362,0.34436585365853645,0.36323151556987265,0.48363437643810386,0.746573170731707,0.23934364933271987,0.6937365776959658,0.9330802270286854,0.4314935189446234,0.3578482129160914,0.16040132689062742,0.07945045252339315,0.11405123485197116,0.4712618883264306,0.4492157539499923,1.9583333333333333,-19.0,0.3503851453279296,2016-17,1610612758,SAC,Sacramento Kings,21600012,2016-10-26T00:00:00,SAC @ PHX,W,48.0,0.8139860408038044,1.7433415784629542,0.4685121951219512,0.19534246050007675,0.517899601165823,0.3787926829268293,0.4137329344991563,0.5520449838932353,0.7467804878048777,0.20624328884798282,0.7028733317993555,0.9091166206473386,0.4658881730326739,0.3104962417548704,0.19843917778800432,0.11405123485197116,0.07945045252339315,0.4492157539499923,0.4712618883264306,2.3541666666666665,19.0,0.5238035484474567,SAC,2016-10-26,PHX,130,-150.0,210.0,-3.0
10,2016-17,1610612740,NOP,New Orleans Pelicans,21600010,2016-10-26,NOP vs. DEN,L,48.0,0.7972321291609142,1.7797256097560976,0.44892682926829275,0.17763460653474467,0.4933080227028687,0.35763414634146345,0.3576564657156005,0.46064388709924825,0.7792560975609756,0.19752837858567263,0.6852613514342691,0.8827897300199418,0.45980499309710077,0.2783977603926983,0.16000824512962109,0.08657865470164132,0.10708601779414022,0.43291244822825586,0.41194489185457894,2.125,-5.0,0.2957090707958487,2016-17,1610612743,DEN,Denver Nuggets,21600010,2016-10-26T00:00:00,DEN @ NOP,W,48.0,0.8136744516030069,1.738528723730633,0.4692682926829268,0.19075011504832032,0.5164423224420924,0.3691829268292683,0.39043085595950305,0.4982119573554226,0.7875609756097559,0.184484775272281,0.7360983279644117,0.9205831032366929,0.4803123561895996,0.28498907040957194,0.15198841846909034,0.10708601779414022,0.08657865470164132,0.41194489185457894,0.43291244822825586,2.2291666666666665,5.0,0.5253234517468509,DEN,2016-10-26,NOP,105,-125.0,208.5,-4.0
9,2016-17,1610612747,LAL,Los Angeles Lakers,21600013,2016-10-26,LAL vs. HOU,W,48.0,0.7296700030679552,1.7626025847522626,0.4153170731707319,0.1619880349746894,0.5111644807485813,0.3178658536585364,0.40125019174720056,0.5139016720355882,0.7784634146341463,0.22239799048933884,0.6705399601165821,0.892937950605921,0.3747171728792759,0.2851137060898911,0.15022913790458656,0.08547610829881884,0.11595432581684309,0.42120148795827567,0.3986136677404511,2.5,6.0,0.17606807107633238,2016-17,1610612745,HOU,Houston Rockets,21600013,2016-10-26T00:00:00,HOU @ LAL,L,48.0,0.8421728792759627,1.7800084368768216,0.47397560975609765,0.177605844454671,0.5113322595490106,0.34258536585365845,0.35983759012118427,0.4920281101395918,0.7308536585365856,0.22722522626169653,0.7388259318913943,0.9660511581530905,0.5123772817916858,0.2626744899524467,0.15651844608068716,0.11595432581684309,0.08547610829881884,0.3986136677404511,0.42120148795827567,2.375,-6.0,0.5322245464221241,HOU,2016-10-26,LAL,-260,210.0,220.0,5.0
