,Away,Date,Home,MLA,MLH,OU,Spread
0,NOP,2019/10/22,TOR,230,-280.0,231.5,6.5
1,LAL,2019/10/22,LAC,-180,150.0,227.0,1.5
2,DET,2019/10/23,IND,240,-300.0,210.0,5.0
3,CLE,2019/10/23,ORL,400,-550.0,212.5,7.5
4,CHI,2019/10/23,CHA,-170,145.0,218.5,1.5
5,BOS,2019/10/23,PHI,190,-240.0,215.0,6.0
6,MEM,2019/10/23,MIA,240,-300.0,210.5,7.5
7,MIN,2019/10/23,BKN,142,-165.0,225.5,5.0
8,NYK,2019/10/23,SAS,525,-750.0,214.0,9.5
9,WAS,2019/10/23,DAL,350,-450.0,223.0,8.5
10,OKC,2019/10/23,UTA,375,-500.0,222.0,9.5
11,SAC,2019/10/23,PHX,-115,-105.0,233.0,2.5
12,DEN,2019/10/23,POR,-120,100.0,219.5,2.5
13,ATL,2019/10/24,DET,105,-125.0,222.0,1.5
14,MIL,2019/10/24,HOU,100,-120.0,231.5,2.0
15,LAC,2019/10/24,GSW,-110,-110.0,225.0,0.0
16,TOR,2019/10/25,BOS,120,-140.0,217.5,3.0
17,MIN,2019/10/25,CHA,-220,180.0,229.0,4.0
18,NYK,2019/10/25,BKN,280,-360.0,225.5,8.5
19,WAS,2019/10/25,OKC,300,-400.0,218.5,6.5
20,DAL,2019/10/25,NOP,110,-130.0,228.0,2.0
21,CHI,2019/10/25,MEM,-125,105.0,220.5,1.0
22,PHX,2019/10/25,DEN,650,-1000.0,221.0,11.5
23,POR,2019/10/25,SAC,-120,100.0,226.5,1.0
24,UTA,2019/10/25,LAL,140,-160.0,218.0,2.0
25,MIA,2019/10/26,MIL,550,-800.0,226.5,9.5
26,PHI,2019/10/26,DET,-190,160.0,214.0,5.0
27,BOS,2019/10/26,NYK,-240,190.0,210.0,1.0
28,ORL,2019/10/26,ATL,-135,115.0,219.0,0.0
29,IND,2019/10/26,CLE,-190,160.0,213.5,5.5
30,TOR,2019/10/26,CHI,-155,135.0,223.0,3.5
31,NOP,2019/10/26,HOU,650,-1000.0,236.0,10.0
32,WAS,2019/10/26,SAS,650,-1000.0,218.0,12.0
33,SAC,2019/10/26,UTA,350,-450.0,220.0,9.5
34,LAC,2019/10/26,PHX,-550,400.0,229.5,8.5
35,GSW,2019/10/27,OKC,100,-120.0,223.5,1.5
36,BKN,2019/10/27,MEM,-180,150.0,224.0,4.0
37,MIA,2019/10/27,MIN,240,-300.0,223.5,6.0
38,POR,2019/10/27,DAL,125,-145.0,222.0,1.5
39,CHA,2019/10/27,LAL,800,-1400.0,216.0,14.0
40,IND,2019/10/28,DET,-130,110.0,213.5,1.0
41,CHI,2019/10/28,NYK,-135,115.0,224.0,0.0
42,PHI,2019/10/28,ATL,-280,230.0,223.0,4.0
43,ORL,2019/10/28,TOR,175,-210.0,212.5,5.0
44,GSW,2019/10/28,NOP,120,-140.0,239.0,2.5
45,CLE,2019/10/28,MIL,1200,-3000.0,222.0,14.5
46,OKC,2019/10/28,HOU,425,-600.0,225.0,10.5
47,POR,2019/10/28,SAS,200,-250.0,220.0,3.5
48,UTA,2019/10/28,PHX,-190,160.0,217.5,4.0
49,DEN,2019/10/28,SAC,-220,180.0,218.0,5.0
50,CHA,2019/10/28,LAC,1200,-3000.0,225.5,15.0
51,ATL,2019/10/29,MIA,300,-400.0,224.5,7.0
52,DAL,2019/10/29,DEN,185,-230.0,216.0,6.0
53,MEM,2019/10/29,LAL,575,-850.0,220.0,12.0
54,NYK,2019/10/30,ORL,375,-500.0,208.0,7.5
55,MIN,2019/10/30,PHI,250,-310.0,227.0,7.0
56,CHI,2019/10/30,CLE,-130,110.0,216.5,1.0
57,DET,2019/10/30,TOR,375,-500.0,211.5,8.0
58,IND,2019/10/30,BKN,130,-150.0,220.5,3.0
59,MIL,2019/10/30,BOS,-165,142.0,222.0,2.5
60,HOU,2019/10/30,WAS,-350,275.0,230.5,8.5
61,POR,2019/10/30,OKC,-120,100.0,223.0,1.0
62,CHA,2019/10/30,SAC,275,-350.0,224.0,7.0
63,LAC,2019/10/30,UTA,230,-280.0,216.0,1.5
64,PHX,2019/10/30,GSW,185,-230.0,229.5,6.0
65,MIA,2019/10/31,ATL,-270,220.0,216.5,6.0
66,DEN,2019/10/31,NOP,-180,150.0,226.0,4.5
67,SAS,2019/10/31,LAC,170,-200.0,225.5,5.0
68,HOU,2019/11/01,BKN,-190,160.0,241.0,3.5
69,MIL,2019/11/01,ORL,-190,160.0,216.0,5.0
70,CLE,2019/11/01,IND,260,-330.0,211.0,7.5
71,NYK,2019/11/01,BOS,500,-700.0,213.0,10.0
72,DET,2019/11/01,CHI,142,-165.0,218.5,2.5
73,LAL,2019/11/01,DAL,-125,105.0,214.5,2.0
74,UTA,2019/11/01,SAC,-210,175.0,214.0,5.5
75,SAS,2019/11/01,GSW,-300,240.0,225.0,4.5
76,NOP,2019/11/02,OKC,110,-130.0,226.5,2.5
77,BKN,2019/11/02,DET,-180,150.0,224.0,1.0
78,DEN,2019/11/02,ORL,-180,150.0,204.5,5.0
79,PHX,2019/11/02,MEM,-150,130.0,223.5,0.0
80,MIN,2019/11/02,WAS,130,-150.0,221.5,1.0
81,TOR,2019/11/02,MIL,210,-260.0,226.0,5.0
82,CHA,2019/11/02,GSW,-255,205.0,225.5,1.0
83,PHI,2019/11/02,POR,-105,-115.0,217.5,3.0
84,CHI,2019/11/03,IND,110,-130.0,214.0,3.5
85,HOU,2019/11/03,MIA,-155,135.0,234.0,3.0
86,SAC,2019/11/03,NYK,-115,-105.0,217.5,1.0
87,LAL,2019/11/03,SAS,-120,100.0,216.0,0.0
88,DAL,2019/11/03,CLE,-220,180.0,216.0,5.0
89,UTA,2019/11/03,LAC,170,-200.0,211.0,4.5
90,DET,2019/11/04,WAS,150,-180.0,225.0,2.0
