,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,WEEKDAY,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,Flux,PrevFlux24,PrevFlux48,SNOW24,SNOW48,SNOW7
0,2010-01-01,0.03,1.6,21.0,26.0,3.0,4,17,-13,-2,-6,-16,-25,6,-4,-6,-137,-106,-91,-36,-24,5,-18,-18,-5,48,-25,19,-15,-23,8,-467,-467.0,-467.0,1.6,1.6,1.6
1,2010-01-02,0.08,2.1,22.0,30.0,13.0,5,13,4,-8,-11,-36,-72,-47,-76,-30,-202,-219,-152,-113,-77,-65,-20,-28,-37,30,31,7,17,-18,10,-1099,-467.0,-467.0,1.6,1.6,1.6
2,2010-01-03,0.21,3.8,24.0,30.0,22.0,6,-9,-3,-11,-13,-13,-62,-26,-49,-67,-128,-181,-121,-121,-3,-48,-35,9,7,65,25,15,16,1,7,-745,-1099.0,-1566.0,2.1,3.7,3.7
3,2010-01-04,0.03,1.2,24.0,27.0,11.0,0,19,16,-2,-5,-32,-49,112,189,110,109,58,22,22,83,19,34,-69,-106,89,-9,18,-6,-30,-11,581,-745.0,-1844.0,3.8,5.9,7.5
4,2010-01-05,0.0,0.0,23.0,30.0,5.0,1,12,7,-2,-12,-30,-34,45,237,157,76,41,-4,-54,-37,-44,-91,-180,-138,18,-35,-10,6,-31,9,-94,581.0,-164.0,1.2,5.0,8.7
5,2010-01-06,0.25,3.9,24.0,29.0,5.0,2,8,-3,-7,-3,-37,-43,48,230,92,96,56,-12,6,8,-29,-88,-175,-159,-11,-22,-6,-11,11,2,-49,-94.0,487.0,0.0,1.2,8.7
6,2010-01-07,0.16,2.8,26.0,33.0,-9.0,3,7,-3,1,-11,-21,-23,60,193,155,75,39,-30,-12,2,-39,-102,-137,-30,-41,4,-1,-3,-11,-3,69,-49.0,-143.0,3.9,3.9,12.6
7,2010-01-08,0.0,0.0,25.0,11.0,-23.0,4,2,-4,-8,0,-3,-53,62,144,120,20,18,45,-18,-17,-57,-62,-93,-45,42,26,60,29,59,24,291,69.0,20.0,2.8,6.7,15.4
8,2010-01-09,0.0,0.0,24.0,13.0,-24.0,5,3,11,-7,-7,-24,-49,-38,-50,-64,-119,-172,-58,-13,-70,-63,-74,-73,30,41,8,5,-25,-10,9,-809,291.0,360.0,0.0,2.8,13.8
9,2010-01-10,0.0,0.0,24.0,19.0,-16.0,6,-4,9,-3,-11,-27,-33,4,-32,-22,-82,-99,-101,-98,-49,-102,-87,-4,50,19,15,14,12,11,-7,-627,-809.0,-518.0,0.0,0.0,11.7
10,2010-01-11,0.0,0.0,23.0,28.0,-6.0,0,10,6,-6,-8,-19,-7,75,243,126,74,-4,15,-47,-44,-13,-58,-153,-141,-9,-51,-14,-5,-27,15,-42,-627.0,-1436.0,0.0,0.0,7.9
11,2010-01-12,0.0,0.0,23.0,29.0,-8.0,1,-1,15,2,-10,-34,-27,19,235,118,119,101,28,-41,-6,-39,-71,-170,-102,-3,-60,-65,-42,-13,7,-40,-42.0,-669.0,0.0,0.0,6.7
12,2010-01-13,0.0,0.0,22.0,31.0,-5.0,2,8,2,-2,-8,-27,-36,52,200,109,48,98,-6,-42,-36,-56,-34,-112,-116,-29,-77,-8,-13,-8,12,-81,-40.0,-82.0,0.0,0.0,6.7
13,2010-01-14,0.0,0.0,22.0,33.0,4.0,3,6,1,-3,1,-11,-31,81,212,99,35,44,70,-69,-31,33,-48,-91,3,13,-22,24,-7,-16,-8,285,-81.0,-121.0,0.0,0.0,2.8
14,2010-01-15,0.01,0.3,22.0,34.0,5.0,4,11,7,0,-5,-25,-36,18,126,117,28,10,65,-26,15,-76,24,-98,86,145,166,141,147,-33,8,815,285.0,204.0,0.0,0.0,0.0
15,2010-01-16,0.0,0.0,22.0,35.0,1.0,5,-5,9,0,-2,-13,-45,-2,10,83,4,-14,66,5,-31,49,44,-5,18,85,36,63,-24,-15,-28,288,815.0,1100.0,0.3,0.3,0.3
16,2010-01-17,0.0,0.0,22.0,31.0,1.0,6,10,0,-8,-7,-13,-52,-7,-23,-25,-40,-88,-59,-33,-43,-7,-68,-18,6,-5,16,17,21,-8,7,-427,288.0,1103.0,0.0,0.3,0.3
17,2010-01-18,0.0,0.0,21.0,41.0,9.0,0,1,4,-1,-5,-22,-42,43,34,40,-150,-201,-97,-109,-45,-89,-101,-126,-35,17,-21,-8,-2,-15,3,-927,-427.0,-139.0,0.0,0.0,0.3
18,2010-01-19,0.0,0.0,20.0,30.0,7.0,1,8,6,-1,-10,-24,-30,53,213,115,114,59,84,-21,-50,-61,-73,-169,-145,-14,-35,-58,-32,-23,0,-94,-927.0,-1354.0,0.0,0.0,0.3
19,2010-01-20,0.02,0.4,20.0,35.0,7.0,2,15,0,-12,-1,-21,-38,54,208,104,37,67,35,-26,-62,-25,-35,-112,-88,-20,-79,-34,-47,-25,7,-98,-94.0,-1021.0,0.0,0.0,0.3
20,2010-01-21,0.02,0.7,20.0,29.0,6.0,3,1,4,-5,-12,-17,-13,53,164,140,47,24,-9,-37,3,-9,-83,-102,-92,43,-41,-20,-10,-10,0,19,-98.0,-192.0,0.4,0.4,0.7
21,2010-01-22,0.0,0.0,20.0,36.0,12.0,4,6,0,3,-5,-6,-26,47,132,103,11,15,0,14,8,-6,-68,-88,-70,125,49,57,15,16,33,365,19.0,-79.0,0.7,1.1,1.4
22,2010-01-23,0.04,1.1,21.0,40.0,21.0,5,15,-4,12,-6,-11,-44,-7,-23,57,35,45,40,-49,13,5,-36,-20,41,56,10,8,-6,-24,-7,100,365.0,384.0,0.0,0.7,1.1
23,2010-01-24,0.18,7.1,24.0,30.0,18.0,6,-11,6,-1,-5,-3,-27,1,-4,-7,-49,-122,-99,-120,-75,-53,-55,-26,45,24,69,12,18,5,8,-469,100.0,465.0,1.1,1.1,2.2
24,2010-01-25,0.05,2.3,23.0,23.0,6.0,0,18,4,4,-16,-46,-37,69,178,132,49,48,18,-31,-22,-7,-106,-164,-85,-39,-28,-36,-9,-24,0,-130,-469.0,-369.0,7.1,8.2,9.3
25,2010-01-26,0.01,0.4,22.0,23.0,-3.0,1,4,-5,-5,-3,-43,-31,61,227,166,40,32,15,-19,-83,-63,-83,-214,-167,33,-36,-54,-2,11,26,-193,-130.0,-599.0,2.3,9.4,11.6
26,2010-01-27,0.09,1.9,24.0,20.0,-3.0,2,-10,-2,-6,-2,-22,-24,20,249,123,64,5,29,0,-45,-25,-25,-147,-145,7,-19,-46,-29,-16,-1,-67,-193.0,-323.0,0.4,2.7,12.0
27,2010-01-28,0.0,0.0,23.0,35.0,19.0,3,11,7,-4,-7,-17,-1,47,217,165,49,63,8,37,4,-51,-82,-116,-57,-7,-23,-27,-40,-22,7,161,-67.0,-260.0,1.9,2.3,13.5
28,2010-01-29,0.0,0.0,23.0,32.0,22.0,4,4,11,-1,-2,-20,-27,51,115,106,17,58,54,-26,-33,-27,-38,-100,-5,103,117,65,31,17,16,486,161.0,94.0,0.0,1.9,12.8
29,2010-01-30,0.0,0.0,22.0,31.0,3.0,5,-5,9,-4,-7,-14,-39,-28,19,160,41,3,-47,3,-12,-23,-95,-39,74,44,37,-8,-31,7,12,57,486.0,647.0,0.0,0.0,12.8
30,2010-01-31,0.0,0.0,22.0,34.0,1.0,6,11,-6,8,-9,-23,-44,-24,-44,12,-76,-142,-119,-157,-126,-93,-67,-42,49,36,42,24,-4,15,-1,-780,57.0,543.0,0.0,0.0,11.7
31,2010-02-01,0.07,2.4,24.0,33.0,9.0,0,-2,0,-1,-7,-31,-49,52,214,96,38,1,27,-8,6,-23,-92,-164,-75,-11,-33,-12,-34,-21,-2,-131,-780.0,-723.0,0.0,0.0,4.6
32,2010-02-02,0.02,0.8,24.0,31.0,-3.0,1,14,3,0,-9,-32,-38,46,187,143,103,26,4,-20,-6,-40,-63,-178,-92,28,14,-1,-36,-30,0,23,-131.0,-911.0,2.4,2.4,4.7
33,2010-02-03,0.0,0.0,23.0,29.0,-5.0,2,4,-2,4,-8,-22,-10,49,237,121,44,75,45,-17,-50,-30,-63,-74,-94,11,-17,-34,-45,-6,1,119,23.0,-108.0,0.8,3.2,5.1
34,2010-02-04,0.0,0.0,23.0,30.0,-5.0,3,5,-5,0,-4,-15,-10,64,199,109,122,142,52,-28,-99,-40,10,-58,-55,33,-1,19,-14,-9,-16,401,119.0,142.0,0.0,0.8,3.2
35,2010-02-05,0.02,0.4,23.0,31.0,10.0,4,6,5,12,-10,-19,-8,48,141,133,11,46,69,63,12,-33,101,14,114,115,32,62,6,15,4,939,401.0,520.0,0.0,0.0,3.2
36,2010-02-06,0.02,0.5,23.0,36.0,13.0,5,18,-7,-2,1,-16,-61,-21,46,174,65,-8,46,-7,-17,-29,-73,-72,104,23,-24,-63,-34,-10,-14,19,939.0,1340.0,0.4,0.4,3.6
37,2010-02-07,0.06,1.4,24.0,32.0,19.0,6,20,0,-4,-2,-16,-33,-16,-45,-55,-118,-115,-138,-167,-173,-107,-113,-56,5,16,1,32,6,-8,-2,-1088,19.0,958.0,0.5,0.9,4.1
38,2010-02-08,0.0,0.0,23.0,36.0,4.0,0,-7,8,-1,-12,-40,-42,50,160,118,-20,-15,-11,7,-6,-48,-109,-192,-55,-28,-37,-9,-23,-26,7,-331,-1088.0,-1069.0,1.4,1.9,5.5
39,2010-02-09,0.01,0.3,23.0,25.0,-6.0,1,2,2,7,-5,-27,-24,40,216,136,82,41,33,-14,-61,-71,-55,-143,-67,-26,-65,-34,-25,-25,0,-83,-331.0,-1419.0,0.0,1.4,3.1
40,2010-02-10,0.0,0.0,23.0,28.0,-8.0,2,-1,-2,0,-9,-15,-23,50,229,126,81,34,35,-19,-28,-93,-65,-153,-105,-30,-43,-26,-48,-12,7,-110,-83.0,-414.0,0.3,0.3,2.6
41,2010-02-11,0.04,1.1,24.0,33.0,8.0,3,9,6,3,3,-17,-36,70,176,113,62,22,50,20,-18,37,-83,-176,-28,65,-43,-27,9,8,8,233,-110.0,-193.0,0.0,0.3,2.6
42,2010-02-12,0.06,1.8,25.0,28.0,17.0,4,18,7,15,-6,-31,-14,9,200,36,43,-1,52,18,73,-10,-64,-25,-31,76,227,140,62,72,98,964,233.0,123.0,1.1,1.1,3.7
43,2010-02-13,0.52,6.4,30.0,29.0,18.0,5,41,17,0,-5,-13,-36,-39,29,103,74,63,18,41,25,-48,54,-88,86,93,27,43,6,9,-7,493,964.0,1197.0,1.8,2.9,5.1
44,2010-02-14,0.1,1.4,29.0,32.0,19.0,6,0,13,8,-5,-12,-32,-1,10,33,-15,-107,-62,-63,-50,-82,-34,-29,29,26,-37,-4,1,0,8,-405,493.0,1457.0,6.4,8.2,11.0
45,2010-02-15,0.0,0.0,28.0,26.0,-12.0,0,3,-3,0,-15,-24,-35,13,19,6,-144,-167,-135,-103,-121,-130,-97,-215,-7,47,-32,-2,-19,-24,14,-1171,-405.0,88.0,1.4,7.8,11.0
46,2010-02-16,0.02,0.3,27.0,24.0,-13.0,1,6,-4,0,-8,-24,-37,33,169,115,81,59,19,5,-48,-95,-53,-156,-90,4,-10,-29,-70,-42,1,-174,-1171.0,-1576.0,0.0,1.4,11.0
47,2010-02-17,0.0,0.0,27.0,31.0,15.0,2,7,5,2,-13,-27,-19,25,142,138,88,10,26,33,-53,-43,-46,-136,-90,-5,-42,1,-24,-7,9,-19,-174.0,-1345.0,0.3,0.3,11.0
48,2010-02-18,0.02,0.5,27.0,34.0,19.0,3,-2,6,-3,1,-13,-9,54,134,136,86,10,-9,-6,-43,-14,-76,-109,-24,29,-39,-27,25,12,8,127,-19.0,-193.0,0.0,0.3,11.0
49,2010-02-19,0.04,1.1,27.0,31.0,9.0,4,11,10,-2,-2,-10,-31,42,96,65,15,35,24,24,-64,-2,-18,-96,-5,79,50,26,23,82,33,385,127.0,108.0,0.5,0.5,10.4
50,2010-02-20,0.08,2.8,28.0,31.0,5.0,5,40,13,3,-5,-37,-31,-32,-69,63,20,31,-9,-7,20,11,-28,-44,37,23,37,13,-12,1,-14,24,385.0,512.0,1.1,1.6,9.7
51,2010-02-21,0.14,2.9,30.0,30.0,16.0,6,9,10,8,-14,-14,-20,-18,18,16,-73,-110,-147,-89,-64,-74,-76,-61,2,25,16,30,-16,-2,1,-643,24.0,409.0,2.8,3.9,6.1
52,2010-02-22,0.04,1.6,30.0,21.0,6.0,0,3,5,-6,0,-32,-25,75,173,111,8,32,16,-6,-9,-46,-48,-126,-101,-4,-71,-20,-11,-20,7,-95,-643.0,-619.0,2.9,5.7,7.6
53,2010-02-23,0.0,0.0,29.0,20.0,-12.0,1,12,11,-8,-13,-23,-18,55,164,175,72,46,52,-5,-21,1,-38,-110,-138,-65,-46,-59,-26,-23,-1,-6,-95.0,-738.0,1.6,4.5,9.2
54,2010-02-24,0.0,0.0,28.0,28.0,-12.0,2,8,-1,-3,-6,-30,-20,28,242,120,57,21,-14,-20,-84,-15,-24,-181,-56,-12,-24,-41,-10,-9,-11,-85,-6.0,-101.0,0.0,1.6,8.9
55,2010-02-25,0.19,3.9,31.0,34.0,-10.0,3,15,8,8,-3,-22,-22,60,212,134,66,110,36,1,-24,-46,-57,-99,-50,17,10,-49,0,17,47,369,-85.0,-91.0,0.0,0.0,8.9
56,2010-02-26,0.03,1.0,30.0,31.0,20.0,4,8,6,-2,-9,-29,-40,84,182,129,25,10,3,20,-18,2,-81,-143,58,141,108,30,37,11,14,546,369.0,284.0,3.9,3.9,12.3
57,2010-02-27,0.0,0.0,30.0,34.0,2.0,5,5,2,0,-6,-26,-35,-2,1,157,51,40,41,31,-62,-49,-68,-66,78,15,-4,3,-18,-43,2,47,546.0,915.0,1.0,4.9,12.2
58,2010-02-28,0.0,0.0,28.0,38.0,2.0,6,-17,1,3,-13,-20,-35,-29,-49,-77,-154,-226,-182,-128,-38,-73,-41,-73,-16,17,8,36,16,5,7,-1078,47.0,593.0,0.0,1.0,9.4
59,2010-03-01,0.03,0.5,27.0,39.0,18.0,0,9,7,-6,-11,-14,-38,122,207,45,69,29,-18,-57,-32,-18,-51,-127,-82,-47,-69,-13,-22,-26,7,-136,-1078.0,-1031.0,0.0,0.0,6.5
60,2010-03-02,0.0,0.0,25.0,40.0,9.0,1,14,-7,5,-6,-28,-22,67,188,136,142,24,21,-25,-71,-9,-110,-113,-129,10,-32,-38,-30,-7,10,-10,-136.0,-1214.0,0.5,0.5,5.4
61,2010-03-03,0.0,0.0,24.0,42.0,8.0,2,0,6,-2,-9,-14,-25,65,195,110,9,100,21,-18,-8,-20,-79,-129,-66,-78,-4,-28,21,-11,3,39,-10.0,-146.0,0.0,0.5,5.4
62,2010-03-04,0.0,0.0,23.0,43.0,13.0,3,7,1,3,-13,-10,-26,70,184,86,39,68,2,-61,12,-33,-85,-164,-34,5,-22,58,-16,-29,3,45,39.0,29.0,0.0,0.0,5.4
63,2010-03-05,0.22,3.8,25.0,51.0,16.0,4,4,-3,0,1,-30,-29,66,188,140,53,88,77,-2,-112,-84,-57,-34,0,97,4,56,11,6,22,462,45.0,84.0,0.0,0.0,1.5
64,2010-03-06,0.2,3.4,27.0,35.0,23.0,5,-2,3,7,-9,-25,-32,-21,5,64,-20,-62,60,3,35,-64,18,38,33,19,-6,6,-16,-23,-7,4,462.0,507.0,3.8,3.8,4.3
65,2010-03-07,0.0,0.0,22.0,43.0,12.0,6,2,-10,-9,0,-14,-47,-37,-26,-26,-89,-156,-138,-100,-88,-132,-74,-62,60,104,33,60,-24,1,13,-759,4.0,466.0,3.4,7.2,7.7
66,2010-03-08,0.07,0.6,22.0,47.0,11.0,0,9,8,25,12,11,-12,106,228,185,40,16,-28,-80,-49,-71,-64,-149,-111,-20,-78,-68,-64,-14,7,-161,-759.0,-755.0,0.0,3.4,7.7
67,2010-03-09,0.05,0.5,22.0,37.0,24.0,1,0,25,31,-3,-48,-12,36,177,86,38,-17,30,-8,-85,-24,-58,-153,-39,6,-86,4,4,-28,0,-124,-161.0,-920.0,0.6,0.6,7.8
68,2010-03-10,0.0,0.0,20.0,42.0,24.0,2,-4,9,-6,-5,-26,-29,38,180,123,20,-23,-47,-50,-66,-85,-84,-145,-52,-4,-91,-74,-67,-24,16,-496,-124.0,-285.0,0.5,1.1,8.3
69,2010-03-11,0.16,3.7,24.0,33.0,19.0,3,24,-4,25,-16,-4,-27,80,135,106,-14,34,-49,-105,-60,-30,-12,-169,-73,-19,-5,17,8,-20,19,-159,-496.0,-620.0,0.0,0.5,8.3
70,2010-03-12,0.04,0.0,22.0,30.0,7.0,4,13,-3,10,-8,-27,-36,77,65,109,-12,86,111,50,-28,2,0,-69,80,168,105,38,36,0,27,794,-159.0,-655.0,3.7,3.7,12.0
71,2010-03-13,0.0,0.0,20.0,40.0,6.0,5,21,5,4,-9,-17,-68,10,11,39,-14,112,80,77,-5,74,81,68,130,132,44,37,-21,-17,10,784,794.0,635.0,0.0,3.7,8.2
72,2010-03-15,0.0,0.0,18.0,46.0,21.0,0,5,3,4,-11,-13,-38,100,174,122,48,47,-8,-7,30,-1,-34,-189,-85,5,15,-31,-21,-13,3,105,784.0,1578.0,0.0,0.0,4.8
73,2010-03-16,0.0,0.0,18.0,41.0,16.0,1,14,1,2,-14,-24,-39,64,224,102,68,60,83,32,-15,-29,-72,-149,-87,-40,-72,-40,-10,-20,8,47,105.0,889.0,0.0,0.0,4.8
74,2010-03-17,0.0,0.0,16.0,48.0,15.0,2,12,-7,6,-13,-17,-32,65,176,73,32,41,7,71,-29,-68,-82,-158,-86,-21,-89,-35,7,10,-8,-145,47.0,152.0,0.0,0.0,4.2
75,2010-03-18,0.0,0.0,15.0,50.0,17.0,3,4,2,-4,-8,-8,-33,62,148,67,-26,-25,19,-51,-95,-62,-84,-170,-41,8,11,8,-10,16,33,-239,-145.0,-98.0,0.0,0.0,3.7
76,2010-03-19,0.14,2.4,15.0,52.0,19.0,4,18,-4,14,-8,-26,-38,26,151,59,-2,-48,-26,-14,-8,-13,-19,-53,-71,60,63,57,24,-2,29,169,-239.0,-384.0,0.0,0.0,3.7
77,2010-03-20,0.03,0.0,13.0,30.0,-1.0,5,10,1,-5,-10,-17,-59,-57,-70,-44,-63,-50,48,35,16,-13,20,-46,69,-12,39,-23,-31,8,6,-248,169.0,-70.0,2.4,2.4,2.4
78,2010-03-21,0.0,0.0,13.0,30.0,0.0,6,-7,2,-1,-7,-12,-42,-16,-65,-41,-88,-99,-64,-109,-71,24,19,-37,17,57,7,-46,25,-10,17,-547,-248.0,-79.0,0.0,2.4,2.4
79,2010-03-22,0.0,0.0,13.0,45.0,5.0,0,1,-1,-3,-10,-24,-31,93,156,68,57,58,-18,6,-25,-41,-107,-152,-103,3,-54,-29,-17,-4,5,-172,-547.0,-795.0,0.0,0.0,2.4
80,2010-03-23,0.02,0.0,13.0,50.0,14.0,1,14,5,5,-9,-31,-34,46,200,95,21,62,27,-3,-22,6,-65,-180,-94,-96,-58,-45,-39,-35,-13,-243,-172.0,-719.0,0.0,0.0,2.4
81,2010-03-24,0.12,1.2,12.0,35.0,23.0,2,-9,-9,-6,-4,-11,-7,60,220,38,38,-6,43,-13,-12,22,-103,-188,-111,-6,-33,-19,-42,-24,4,-178,-243.0,-415.0,0.0,0.0,2.4
82,2010-03-25,0.0,0.0,11.0,40.0,13.0,3,-10,10,-7,-5,-24,-23,82,159,82,36,10,53,31,-80,-36,-129,-121,-62,-39,-12,-59,7,13,13,-111,-178.0,-421.0,1.2,1.2,3.6
83,2010-03-26,0.08,1.4,12.0,46.0,13.0,4,-3,4,-3,-1,-11,-25,80,200,34,35,-20,65,-38,-65,-27,-34,-39,9,77,37,22,17,-8,27,333,-111.0,-289.0,0.0,1.2,3.6
84,2010-03-27,0.07,1.4,11.0,35.0,24.0,5,3,-3,4,-16,-13,-16,-8,29,56,24,-15,2,63,52,60,-9,0,41,24,18,-42,-72,-12,14,184,333.0,222.0,1.4,1.4,2.6
85,2010-03-28,0.0,0.0,10.0,41.0,14.0,6,-2,8,-6,-9,-10,-22,-15,-3,23,-46,-47,-3,-37,-46,29,-13,-36,11,-13,16,14,5,2,8,-192,184.0,517.0,1.4,2.8,4.0
86,2010-03-29,0.0,0.0,9.0,47.0,14.0,0,-11,3,4,-4,-18,-19,69,176,86,16,71,34,-46,25,13,-72,-180,-121,-34,-34,-12,11,-21,6,-58,-192.0,-8.0,0.0,1.4,4.0
87,2010-03-30,0.0,0.0,7.0,54.0,18.0,1,-3,6,-7,-11,-26,-19,40,212,79,61,39,2,-59,-32,25,-82,-147,-153,-84,-1,-22,-20,-10,-1,-213,-58.0,-250.0,0.0,0.0,4.0
88,2010-03-31,0.0,0.0,4.0,62.0,25.0,2,7,-8,9,0,-17,-9,27,178,35,41,18,26,-10,2,-1,-84,-170,-107,-16,-35,-54,2,21,26,-119,-213.0,-271.0,0.0,0.0,4.0
89,2010-04-01,0.46,3.8,4.0,52.0,31.0,3,21,7,-1,-12,-14,-22,63,216,32,23,36,76,-10,-49,-11,-97,-156,-83,-14,-13,59,-8,9,6,58,-119.0,-332.0,0.0,0.0,2.8
90,2010-04-02,0.18,3.6,6.0,32.0,9.0,4,2,-2,4,-3,-14,-40,20,213,78,22,38,-9,-2,-40,-54,-45,-56,15,65,-10,23,-44,16,3,180,58.0,-61.0,3.8,3.8,6.6
91,2010-04-03,0.23,4.8,10.0,33.0,10.0,5,19,8,6,-4,-13,-46,-12,-41,50,49,-17,-37,38,-70,-67,-51,-44,-26,22,-25,-10,-11,-22,11,-293,180.0,238.0,3.6,7.4,8.8
92,2010-04-04,0.09,1.4,9.0,32.0,24.0,6,1,3,-4,-3,-22,-28,2,7,-7,-51,-166,-126,-103,-111,-65,-122,-51,-12,35,12,44,16,20,27,-704,-293.0,-113.0,4.8,8.4,12.2
93,2010-04-05,0.03,0.0,5.0,40.0,24.0,0,3,0,-5,-7,-21,-38,63,160,75,21,24,-40,-42,-9,-4,-123,-134,-154,33,-59,-8,-19,-2,11,-275,-704.0,-997.0,1.4,6.2,13.6
94,2010-04-06,0.22,2.7,3.0,47.0,22.0,1,9,8,9,-1,-21,-25,0,236,120,43,71,15,-18,11,-47,-91,-184,-98,-36,-67,-31,-11,-2,0,-110,-275.0,-979.0,0.0,1.4,13.6
95,2010-04-07,0.49,8.8,12.0,26.0,21.0,2,8,-10,-1,-5,-32,-21,13,305,99,3,3,-34,-25,-70,-100,-95,-136,-93,-33,-81,-48,-13,-18,16,-368,-110.0,-385.0,2.7,2.7,16.3
96,2010-04-08,0.0,0.0,5.0,34.0,12.0,3,7,3,5,-10,-18,-52,60,165,75,124,18,49,10,-33,-85,-141,-181,-57,13,-12,2,-9,-5,18,-54,-368.0,-478.0,8.8,11.5,25.1
97,2010-04-09,0.0,0.0,3.0,47.0,12.0,4,4,-1,0,-1,-39,-40,21,107,44,60,61,29,-41,-43,-50,-121,-78,-21,60,100,82,15,34,30,212,-54.0,-422.0,0.0,8.8,21.3
98,2010-04-10,0.0,0.0,0.0,56.0,18.0,5,30,12,-5,-15,-16,-57,-40,-92,38,50,94,29,35,-76,-67,-123,20,97,48,22,21,24,-18,10,21,212.0,158.0,0.0,0.0,17.7
99,2010-04-11,0.0,0.0,0.0,57.0,23.0,6,3,3,-10,-7,-8,-41,-14,-29,0,22,62,-55,-114,-95,-148,-164,-125,-77,-7,21,38,17,0,12,-716,21.0,233.0,0.0,0.0,12.9
100,2010-04-12,0.0,0.0,0.0,64.0,25.0,0,12,0,8,-3,-29,-45,53,125,87,54,34,-8,-35,-86,-73,-97,-83,-143,-33,-22,-29,-9,-10,11,-321,-716.0,-695.0,0.0,0.0,11.5
101,2010-04-13,0.0,0.0,0.0,66.0,32.0,1,10,2,9,-14,-15,-43,56,209,135,49,46,36,-21,-9,-65,-90,-196,-84,-21,-33,-26,12,3,10,-40,-321.0,-1037.0,0.0,0.0,11.5
102,2010-04-14,0.04,0.0,0.0,45.0,21.0,2,8,14,1,0,-9,-52,63,194,45,29,27,14,-35,-15,-38,-97,-146,-132,-38,10,-32,-11,0,2,-198,-40.0,-361.0,0.0,0.0,8.8
103,2010-04-15,0.0,0.0,0.0,56.0,21.0,3,6,0,-1,3,-17,-21,56,144,41,35,36,-27,-43,-66,-51,-203,-184,-80,-14,-5,-36,-5,2,14,-416,-198.0,-238.0,0.0,0.0,0.0
104,2010-04-16,0.0,0.0,0.0,61.0,26.0,4,-9,9,1,-5,-15,-45,38,77,26,24,-28,1,-99,-50,-96,-155,-103,-74,0,37,61,20,-3,5,-383,-416.0,-614.0,0.0,0.0,0.0
105,2010-04-17,0.02,0.0,0.0,67.0,29.0,5,3,9,0,-13,-21,-40,-57,-99,17,23,34,32,-30,-55,-37,-32,14,42,13,3,10,-8,7,-4,-189,-383.0,-799.0,0.0,0.0,0.0
106,2010-04-18,0.27,0.0,0.0,57.0,28.0,6,-3,0,-5,6,-19,-32,-22,-32,-31,-14,9,-34,40,25,6,12,51,136,115,61,71,21,24,17,402,-189.0,-572.0,0.0,0.0,0.0
107,2010-04-19,0.0,0.0,0.0,64.0,29.0,0,10,-1,7,-3,-17,-22,17,67,148,93,119,36,-9,15,-31,-55,-107,-66,-9,-20,-6,-2,-8,25,181,402.0,213.0,0.0,0.0,0.0
108,2010-04-20,0.0,0.0,0.0,64.0,29.0,1,7,6,7,-1,-29,-36,3,101,126,27,38,10,-14,-105,11,-40,-75,-87,52,-28,21,5,5,16,20,181.0,583.0,0.0,0.0,0.0
109,2010-04-21,0.0,0.0,0.0,68.0,30.0,2,6,1,3,-7,-17,-18,-3,47,106,23,-7,4,-4,-61,-17,-50,-146,-62,-33,5,-7,-9,-12,11,-247,20.0,201.0,0.0,0.0,0.0
110,2010-04-22,0.19,0.3,0.0,69.0,31.0,3,20,4,1,2,-29,-15,-2,60,77,49,24,-12,-13,-64,-80,-29,-151,-38,-15,18,-12,-19,6,17,-201,-247.0,-227.0,0.0,0.0,0.0
111,2010-04-23,0.25,1.0,1.0,47.0,29.0,4,9,-1,9,-7,-22,-51,31,68,49,6,17,9,-3,-53,-35,-44,-120,-63,0,-1,10,13,0,17,-162,-201.0,-448.0,0.3,0.3,0.3
112,2010-04-24,0.34,1.6,2.0,34.0,29.0,5,4,-7,-7,-6,-19,-31,-11,-52,40,22,7,-9,-57,-41,-80,3,19,33,59,9,40,25,-14,27,-46,-162.0,-363.0,1.0,1.3,1.3
113,2010-04-25,0.0,0.0,0.0,51.0,31.0,6,12,0,1,-2,-23,-29,-13,-11,20,1,-64,10,7,-29,18,15,87,79,49,47,38,19,7,5,244,-46.0,-208.0,1.6,2.6,2.9
114,2010-04-26,0.05,0.0,0.0,50.0,25.0,0,9,7,1,-1,-30,-9,49,144,100,81,29,-26,3,-8,-19,-23,-128,-83,25,41,0,-23,16,22,177,244.0,198.0,0.0,1.6,2.9
115,2010-04-27,0.0,0.0,0.0,51.0,24.0,1,18,6,1,-7,-24,-8,11,164,89,77,96,-17,-2,1,39,-66,-101,-120,-26,24,-29,-11,-2,7,120,177.0,421.0,0.0,0.0,2.9
116,2010-04-28,0.0,0.0,0.0,66.0,25.0,2,13,5,7,-3,-16,-16,12,163,43,39,87,-5,-31,-41,-50,-133,-145,-71,-28,-28,-6,-15,19,9,-191,120.0,297.0,0.0,0.0,2.9
117,2010-04-29,0.14,2.2,2.0,59.0,24.0,3,7,4,4,1,-14,-29,42,134,64,41,18,-15,-39,-65,-72,-76,-194,-49,8,-49,-27,-7,0,17,-296,-191.0,-71.0,0.0,0.0,2.9
