COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000314,20220101,P,15,14,10,8,9,18,57,97,107,142,111,128,124,100,102,101,97,102,43,29,17,17,19,4,01/01/2022
000314,20220101,S,22,19,14,8,5,6,12,25,29,39,64,84,111,114,144,146,152,131,110,68,45,44,31,22,01/01/2022
000314,20220102,P,3,0,0,3,2,17,51,80,134,139,158,147,171,146,124,109,99,78,46,35,21,11,13,8,01/02/2022
000314,20220102,S,9,3,6,3,1,3,11,20,55,51,86,116,112,131,153,153,171,137,92,77,46,35,27,13,01/02/2022
000314,20220103,P,9,4,2,1,11,40,104,314,253,224,205,208,182,179,156,163,142,109,65,24,14,9,8,6,01/03/2022
000314,20220103,S,3,4,3,4,3,6,23,54,98,116,123,152,155,149,194,214,309,299,153,93,56,45,21,12,01/03/2022
000314,20220104,P,5,5,0,1,10,53,126,367,274,211,213,213,187,182,155,162,150,107,59,33,26,14,9,9,01/04/2022
000314,20220104,S,9,2,3,3,3,5,37,82,120,126,130,139,160,186,180,223,279,305,156,90,51,50,31,21,01/04/2022
000314,20220105,P,5,4,6,4,22,51,120,368,266,184,144,123,152,124,126,121,221,105,86,77,45,48,32,20,01/05/2022
000314,20220105,S,8,2,1,4,3,12,30,60,88,87,111,107,112,156,169,250,268,247,122,94,47,34,23,20,01/05/2022
000314,20220106,P,23,27,12,10,9,34,100,307,223,178,195,197,184,198,165,157,194,113,68,43,28,19,13,9,01/06/2022
000314,20220106,S,5,4,7,6,8,15,28,60,93,119,141,143,132,161,164,234,301,243,169,102,59,41,31,21,01/06/2022
000314,20220107,P,7,6,10,3,10,45,121,339,277,239,226,208,209,164,163,178,183,147,89,47,65,36,12,7,01/07/2022
000314,20220107,S,8,2,9,4,6,10,35,84,135,136,153,138,174,178,207,270,340,244,195,106,61,53,50,23,01/07/2022
000314,20220108,P,0,1,3,1,7,22,69,127,171,137,143,140,115,108,106,119,89,87,57,26,19,22,15,4,01/08/2022
000314,20220108,S,15,6,7,2,3,16,17,40,71,67,67,80,100,118,112,178,171,134,107,75,57,60,44,23,01/08/2022
000314,20220109,P,1,13,6,2,6,16,50,138,165,171,164,200,157,125,106,104,97,84,63,31,12,15,9,7,01/09/2022
000314,20220109,S,10,7,5,8,3,9,9,23,65,79,102,128,155,155,172,178,197,138,106,55,51,34,34,19,01/09/2022
000314,20220110,P,6,4,1,1,9,45,117,372,253,200,199,181,159,147,158,152,176,112,84,24,21,17,8,5,01/10/2022
000314,20220110,S,9,3,6,2,5,10,34,79,136,144,145,149,163,164,177,245,322,281,175,88,66,41,31,9,01/10/2022
000314,20220111,P,5,5,2,2,14,52,138,379,265,181,198,205,186,179,159,141,155,136,71,38,29,17,7,4,01/11/2022
000314,20220111,S,5,3,0,0,6,8,24,89,140,135,128,140,163,160,174,246,308,279,167,119,81,57,47,15,01/11/2022
000314,20220112,P,10,4,2,0,12,50,135,372,276,219,178,159,194,189,193,149,158,118,87,42,20,18,12,8,01/12/2022
000314,20220112,S,4,3,2,3,4,15,29,83,137,139,135,125,159,174,181,245,302,312,175,104,75,62,30,17,01/12/2022
000314,20220113,P,7,1,1,0,10,49,146,381,275,195,208,195,172,181,187,141,168,125,45,37,28,18,12,8,01/13/2022
000314,20220113,S,6,1,6,4,3,11,34,93,126,119,136,154,177,165,190,231,315,312,157,101,76,56,41,15,01/13/2022
000314,20220114,P,9,1,0,2,8,47,120,335,258,200,186,148,169,178,168,137,117,124,64,51,31,27,12,8,01/14/2022
000314,20220114,S,6,6,3,1,2,8,35,60,117,116,108,123,173,183,168,225,252,235,172,87,50,61,57,24,01/14/2022
000314,20220115,P,5,4,6,4,8,16,68,139,147,203,166,173,119,124,135,124,127,90,56,38,22,27,16,11,01/15/2022
000314,20220115,S,11,10,4,2,2,6,19,54,69,78,98,110,133,145,149,171,183,143,125,94,67,48,46,30,01/15/2022
000314,20220116,P,4,3,1,1,4,22,40,102,148,189,171,131,160,116,108,118,125,102,66,29,20,20,12,6,01/16/2022
000314,20220116,S,8,4,6,2,3,5,16,19,54,68,106,145,127,137,146,143,166,121,108,60,68,40,34,20,01/16/2022
000314,20220117,P,1,3,3,3,6,37,101,260,239,209,203,200,212,177,156,152,175,126,64,51,27,14,8,6,01/17/2022
000314,20220117,S,5,3,2,2,3,9,18,90,104,134,108,140,155,151,193,215,297,275,130,79,52,50,24,10,01/17/2022
000314,20220118,P,1,0,0,2,11,53,145,396,258,205,175,174,166,174,156,141,179,123,52,29,15,10,2,4,01/18/2022
000314,20220118,S,5,1,2,1,4,8,32,77,131,136,138,147,145,161,156,228,279,293,174,91,66,69,39,7,01/18/2022
000314,20220119,P,3,2,0,0,14,61,153,363,264,209,175,171,179,175,158,181,152,107,65,57,26,14,7,5,01/19/2022
000314,20220119,S,4,1,1,2,4,9,33,83,130,116,120,149,147,151,191,213,310,330,185,105,56,51,32,8,01/19/2022
000314,20220120,P,1,2,1,0,11,52,142,386,248,186,192,169,183,149,156,141,183,130,64,52,24,30,17,10,01/20/2022
000314,20220120,S,6,3,5,1,2,12,22,83,115,111,123,147,122,186,179,249,279,314,152,97,87,44,41,13,01/20/2022
000314,20220121,P,0,5,8,4,13,47,118,350,244,174,176,159,167,164,153,129,142,125,72,47,43,13,8,8,01/21/2022
